rowid,kepid,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,TARGET
13,6922244,,,0.0,0.0,0.0,0.0,3.5224984290,0.0000001980,-0.0000001980,121.1194228000,0.0000471000,-0.0000471000,631.0000000000,7.0000000000,-7.0000000000,3.1984300000,0.0065300000,-0.0065300000,9145.7000000000,,-6.6000000000,14.5900000000,1.1100000000,-1.1100000000,1521.0000000000,1264.6700000000,307.2300000000,-276.4800000000,1741.5000000000,1.0000000000,6225.0000000000,112.0000000000,-137.0000000000,4169.0000000000,55.0000000000,-45.0000000000,1451.0000000000,0.1100000000,,,42.4510800000,13.5630000000,0.0
14,10984090,CANDIDATE,1.0,0.0,0.0,,0.0,3.7092141040,,-0.0000065360,133.9831800000,0.0014300000,-0.0014300000,51.0000000000,395.0000000000,-51.0000000000,2.6302000000,0.0427000000,-0.0427000000,131.1000000000,3.0000000000,-3.0000000000,1.1600000000,0.1700000000,-0.1200000000,1206.0000000000,,197.9600000000,-130.5400000000,50.6000000000,2.0000000000,5833.0000000000,105.0000000000,-117.0000000000,4407.0000000000,,-114.0000000000,1022.0000000000,143.0000000000,-107.0000000000,295.6487100000,,12772.0000000000,0.0
15,10419211,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,11.5214460640,0.0000019800,,170.8396880000,0.0001310000,-0.0001310000,2483.0000000000,2851.0000000000,,3.6399000000,,-0.0114000000,17984.0000000000,31.9000000000,,150.5100000000,,-13.3100000000,753.0000000000,75.8800000000,58.8900000000,,,1.0000000000,5795.0000000000,155.0000000000,-172.0000000000,4.5540000000,33.0000000000,-0.1760000000,848.0000000000,224.0000000000,,297.0799300000,47.5974010000,15.4720000000,
16,10464078,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,19.4039377600,0.0206800000,-0.0206800000,172.4842530000,0.0008420000,-0.0008420000,804.0000000000,7.0000000000,-5.0000000000,12.2155000000,,-0.0598000000,8918.7000000000,53.3000000000,-53.3000000000,7.1800000000,0.7600000000,,523.0000000000,17.6900000000,6.6600000000,,214.7000000000,,5043.0000000000,151.0000000000,-151.0000000000,4591.0000000000,0.0720000000,-48.0000000000,0.6800000000,72.0000000000,-65.0000000000,,47.6353190000,15487.0000000000,
17,10480982,FALSE POSITIVE,0.0,0.0,1.0,,0.0,19.2213889420,0.0000011230,-0.0000011230,184.5521637000,0.0000450000,-0.0000450000,1065.0000000000,31.0000000000,,4.7984300000,0.0023500000,-0.0023500000,74284.0000000000,21.9000000000,-21.9000000000,49.2900000000,16.0300000000,,698.0000000000,55.9700000000,54.5500000000,,,1.0000000000,6117.0000000000,182.0000000000,-200.0000000000,4496.0000000000,0.0520000000,-0.2080000000,947.0000000000,308.0000000000,-96.0000000000,,47.6903500000,15341.0000000000,
18,10485250,FALSE POSITIVE,0.0,,1.0,,0.0,16.4698377400,0.0136100000,,180.8817610000,0.0006230000,,292.0000000000,118.0000000000,-101.0000000000,9.4378000000,0.0600000000,-0.0600000000,,39.9000000000,-39.9000000000,7.9400000000,0.8900000000,-0.8900000000,,,12.0100000000,-8.9100000000,303.4000000000,1.0000000000,5152.0000000000,168.0000000000,-153.0000000000,4.5170000000,,-0.0720000000,786.0000000000,88.0000000000,-88.0000000000,297.1544200000,47.6687010000,15788.0000000000,1.0
19,10526549,CANDIDATE,1.0,,0.0,0.0,0.0,9.2735817300,0.0103700000,-0.0103700000,173.2581550000,0.0008770000,-0.0008770000,,4.0000000000,-386.0000000000,3.2875000000,,,1288.3000000000,16.8000000000,-16.8000000000,2.4700000000,0.2000000000,-0.2400000000,,41.8500000000,12.4900000000,-11.7000000000,87.2000000000,1.0000000000,4856.0000000000,131.0000000000,-146.0000000000,4583.0000000000,65.0000000000,-35.0000000000,,56.0000000000,-68.0000000000,288.1382400000,47.7244490000,15302.0000000000,0.0
20,,CANDIDATE,1.0,0.0,0.0,0.0,0.0,6.0293032900,0.0055090000,,171.6029590000,0.0007130000,-0.0007130000,258.0000000000,,-258.0000000000,1.5821000000,,-0.0311000000,1912.7000000000,34.4000000000,-34.4000000000,2.8500000000,,-0.1500000000,678.0000000000,50.0400000000,16.4000000000,,65.4000000000,1.0000000000,4537.0000000000,,-123.0000000000,4648.0000000000,0.0200000000,-0.0560000000,672.0000000000,62.0000000000,-36.0000000000,283.7108800000,,15784.0000000000,0.0
21,,FALSE POSITIVE,,0.0,1.0,1.0,,2.6963706520,0.0000075340,-0.0000075340,170.7376900000,,-0.0023400000,44.0000000000,0.3600000000,-44.0000000000,3.6129000000,,-0.0686000000,397.9000000000,,-9.5000000000,1.5800000000,,-0.1600000000,,305.3400000000,96.6400000000,-86.3300000000,48.2000000000,1.0000000000,4989.0000000000,149.0000000000,-149.0000000000,4504.0000000000,0.0900000000,-0.0600000000,,67.0000000000,-82.0000000000,,47.8042980000,15269.0000000000,
22,10601284,CANDIDATE,1.0,0.0,,0.0,0.0,,,-0.0088340000,171.8069400000,0.0012700000,-0.0012700000,92.0000000000,369.0000000000,-92.0000000000,3.0278000000,0.0471000000,-0.0471000000,,14.8000000000,,2.5500000000,0.1600000000,-0.2400000000,919.0000000000,168.9900000000,34.6600000000,-38.4800000000,60.6000000000,1.0000000000,5185.0000000000,85.0000000000,-77.0000000000,4.4400000000,,-45.0000000000,0.9100000000,,,292.3761300000,47.8809890000,15.4160000000,0.0
23,10601284,CANDIDATE,0.98,0.0,,0.0,0.0,3.9410522100,0.0109400000,-0.0109400000,136.0866200000,0.0023300000,-0.0023300000,226.0000000000,,,2.5984000000,0.0737000000,-0.0737000000,363.3000000000,13.9000000000,-13.9000000000,1.7000000000,0.1100000000,-0.1600000000,1018.0000000000,253.1500000000,51.9100000000,-57.6500000000,28.9000000000,,5185.0000000000,85.0000000000,-77.0000000000,4.4400000000,98.0000000000,,0.9100000000,57.0000000000,-86.0000000000,,47.8809890000,,
24,10601284,CANDIDATE,971,0.0,0.0,0.0,0.0,8.1090480700,0.0678700000,-0.0678700000,132.8031000000,0.0071600000,-0.0071600000,25.0000000000,425.0000000000,-25.0000000000,3596.0000000000,198.0000000000,-198.0000000000,217.4000000000,16.8000000000,-16.8000000000,,0.0900000000,-0.1200000000,800.0000000000,97.0300000000,,-22.0900000000,14.1000000000,3.0000000000,5185.0000000000,85.0000000000,-77.0000000000,4.4400000000,98.0000000000,,0.9100000000,57.0000000000,-86.0000000000,292.3761300000,47.8809890000,15.4160000000,0.0
26,10662202,CANDIDATE,,0.0,0.0,0.0,,21.6769919300,0.0000701000,-0.0000701000,171.5359400000,0.0025800000,,896.0000000000,0.0100000000,-663.0000000000,3.4555000000,0.0656000000,-0.0656000000,857.2000000000,27.1000000000,-27.1000000000,,0.1200000000,-0.2300000000,530.0000000000,18.6400000000,2.7800000000,-3.8000000000,34.3000000000,1.0000000000,4954.0000000000,79.0000000000,-79.0000000000,4.5000000000,75.0000000000,-0.0200000000,828.0000000000,,,290.4651200000,,15377.0000000000,0.0
,10682541,CANDIDATE,1.0,0.0,0.0,0.0,0.0,4.9967796800,0.0138900000,-0.0138900000,171.7420800000,0.0021900000,-0.0021900000,0.7100000000,6.0000000000,-533.0000000000,2.1717000000,0.0762000000,-0.0762000000,934.7000000000,39.7000000000,-39.7000000000,2.7800000000,0.5200000000,-0.2300000000,917.0000000000,166.9500000000,102.0600000000,-42.1400000000,28.2000000000,,,,-159.0000000000,,34.0000000000,-136.0000000000,847.0000000000,161.0000000000,-69.0000000000,297.8082600000,,15.8610000000,0.0
,11460018,,1.0,0.0,0.0,0.0,0.0,4.2809636040,0.0061410000,-0.0061410000,171.8965900000,0.0011500000,-0.0011500000,424.0000000000,,-356.0000000000,2875.0000000000,42.0000000000,-42.0000000000,750.8000000000,,,,0.5800000000,-0.1900000000,1012.0000000000,,182.2400000000,-63.3200000000,61.8000000000,1.0000000000,5644.0000000000,152.0000000000,-169.0000000000,4564.0000000000,32.0000000000,-168.0000000000,,207.0000000000,-69.0000000000,294.2658100000,49.3140910000,,0.0
29,11463211,FALSE POSITIVE,0.0,0.0,0.0,1.0,0.0,,0.0000004700,,,0.0002460000,-0.0002460000,0.8600000000,42.0000000000,-125.0000000000,1.5155000000,0.0483000000,-0.0483000000,,18.3000000000,-18.3000000000,4.5300000000,1.0100000000,-0.4400000000,1452.0000000000,1054.1200000000,,,,1.0000000000,5714.0000000000,155.0000000000,-172.0000000000,4563.0000000000,0.0400000000,-0.1600000000,831.0000000000,186.0000000000,-0.0800000000,295.6652200000,49.3510090000,15525.0000000000,1.0
30,11465813,FALSE POSITIVE,0.0,1.0,,0.0,0.0,670.6455310000,0.0012370000,-0.0012370000,209.0435500000,0.0015700000,-0.0015700000,701.0000000000,4.0000000000,-5.0000000000,53412.0000000000,131.0000000000,-131.0000000000,18091.0000000000,33.5000000000,-33.5000000000,14.1400000000,2.1300000000,-0.7100000000,,0.3500000000,,-0.0600000000,,1.0000000000,5520.0000000000,100.0000000000,-111.0000000000,4466.0000000000,32.0000000000,-0.1200000000,,148.0000000000,-49.0000000000,296.6986100000,,15207.0000000000,1.0
,11493732,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,61.2563628000,0.0001560000,-0.0001560000,173.8382600000,0.0020900000,-0.0020900000,,,,7633.0000000000,105.0000000000,-105.0000000000,5123.3000000000,70.6000000000,,39.8700000000,,-5.4800000000,505.0000000000,15.4300000000,14.8500000000,-5.5100000000,85.3000000000,1.0000000000,,,-220.0000000000,,0.0720000000,-217.0000000000,1091.0000000000,,-0.1500000000,,49.4795190000,,1.0
32,,CANDIDATE,,0.0,0.0,0.0,0.0,38.3775486000,0.0001602000,,172.8204800000,,-0.0033800000,468.0000000000,461.0000000000,-267.0000000000,5588.0000000000,,-113.0000000000,724.2000000000,,,,,-0.3400000000,529.0000000000,,6.7200000000,-4.9300000000,34.7000000000,1.0000000000,5481.0000000000,,-74.0000000000,4369.0000000000,121.0000000000,-99.0000000000,1036.0000000000,138.0000000000,-124.0000000000,291.7220200000,49.4808690000,15172.0000000000,
33,10910878,CANDIDATE,992,0.0,0.0,0.0,,41.1972550200,,-0.0934500000,165.0040400000,0.0017100000,-0.0017100000,45.0000000000,337.0000000000,,4.6297000000,0.0633000000,,2213.9000000000,45.5000000000,-45.5000000000,,0.1500000000,,439.0000000000,8.7600000000,1.2700000000,-1.9000000000,51.2000000000,2.0000000000,5031.0000000000,75.0000000000,-83.0000000000,4485.0000000000,83.0000000000,-0.0280000000,,,-72.0000000000,,48.3757900000,15841.0000000000,0.0
34,10910878,,1.0,0.0,0.0,0.0,0.0,6.2529622490,0.0095770000,,,0.0011700000,-0.0011700000,105.0000000000,,-105.0000000000,2.5819000000,0.0426000000,-0.0426000000,1036.9000000000,24.5000000000,-24.5000000000,2.6500000000,0.1000000000,,823.0000000000,,15.7300000000,-23.4400000000,47.1000000000,3.0000000000,5031.0000000000,75.0000000000,-83.0000000000,4485.0000000000,83.0000000000,,848.0000000000,,-72.0000000000,286.9994800000,48.3757900000,15841.0000000000,0.0
35,10987985,CANDIDATE,1.0,0.0,,0.0,0.0,16.0130841900,0.0485400000,-0.0485400000,,,-0.0024300000,,97.0000000000,,3.2554000000,0.0791000000,-0.0791000000,1121.9000000000,39.4000000000,,3.1000000000,0.3400000000,-0.3100000000,,29.3100000000,11.7700000000,-8.2400000000,33.2000000000,1.0000000000,5015.0000000000,164.0000000000,-149.0000000000,4499.0000000000,92.0000000000,,826.0000000000,91.0000000000,-82.0000000000,297.0256300000,48.4785880000,,0.0
36,,CANDIDATE,1.0,0.0,0.0,0.0,0.0,,0.0580100000,,194.1019000000,,,21.0000000000,402.0000000000,-21.0000000000,4.7971000000,,,1804.8000000000,25.4000000000,-25.4000000000,3.3600000000,0.7600000000,-0.3300000000,,15.5500000000,10.5100000000,-4.1800000000,80.0000000000,1.0000000000,5586.0000000000,152.0000000000,,4.5600000000,0.0500000000,-0.1500000000,,181.0000000000,,285.7185400000,48.5058590000,,0.0
37,11018648,CANDIDATE,,0.0,0.0,0.0,0.0,91.7732862000,0.0007518000,,,0.0064300000,-0.0064300000,606.0000000000,335.0000000000,-0.4000000000,6473.0000000000,204.0000000000,-204.0000000000,,36.2000000000,-36.2000000000,2.1200000000,0.4800000000,-0.2100000000,359.0000000000,3.9200000000,2.6400000000,-1.0600000000,19.1000000000,2.0000000000,5586.0000000000,152.0000000000,-152.0000000000,4.5600000000,,-0.1500000000,798.0000000000,181.0000000000,-77.0000000000,285.7185400000,48.5058590000,15082.0000000000,0.0
38,11138155,CANDIDATE,1.0,0.0,0.0,0.0,0.0,4.9593192440,,-0.0000005150,,,-0.0000827000,831.0000000000,,-4.0000000000,2.2273900000,,-0.0075000000,,20.0000000000,-20.0000000000,12.2100000000,,-1.4600000000,,349.4000000000,146.5200000000,-93.2100000000,696.5000000000,1.0000000000,5712.0000000000,77.0000000000,-77.0000000000,4359.0000000000,0.1100000000,,1082.0000000000,173.0000000000,-0.1300000000,292.1670500000,48.7275890000,15263.0000000000,2.0
39,,FALSE POSITIVE,0.0,,1.0,1.0,0.0,2.7012878010,0.0056340000,-0.0056340000,170.6957900000,,-0.0016400000,1016.0000000000,3967.0000000000,-59.0000000000,3.3827000000,0.0892000000,-0.0892000000,860.4000000000,20.9000000000,,6.5400000000,1.6400000000,-0.7500000000,1222.0000000000,,411.3300000000,-166.3500000000,48.3000000000,1.0000000000,5550.0000000000,182.0000000000,,4468.0000000000,91.0000000000,-0.1690000000,0.9100000000,,-105.0000000000,297.9236500000,48.7773210000,15.5400000000,1.0
,11153539,CANDIDATE,1.0,0.0,0.0,0.0,,4.4987651100,0.0177700000,-0.0177700000,171.3490500000,,-3.0000000000,312.0000000000,154.0000000000,-312.0000000000,3.7362000000,0.0934000000,,460.0000000000,17.5000000000,-17.5000000000,,0.6500000000,-0.2200000000,1133.0000000000,389.6200000000,365.7100000000,-117.4000000000,29.5000000000,,6075.0000000000,,-210.0000000000,4.4860000000,0.0520000000,-0.2080000000,,0.3000000000,-0.1000000000,,48.7915920000,,0.0
41,11242721,FALSE POSITIVE,0.0,,1.0,0.0,0.0,,0.0000058620,-0.0000058620,179.4019810000,0.0002490000,,,0.0100000000,-0.0200000000,5.2514000000,0.0179000000,-0.0179000000,,27.7000000000,-27.7000000000,12.4200000000,3.9200000000,-1.6900000000,,67.0300000000,62.4600000000,,513.4000000000,1.0000000000,6074.0000000000,168.0000000000,-210.0000000000,4391.0000000000,0.0900000000,,1063.0000000000,336.0000000000,-144.0000000000,,48.9338420000,15536.0000000000,1.0
42,9579641,CANDIDATE,1.0,,,,,,0.0000030520,-0.0000030520,,0.0004680000,-0.0004680000,,5.0000000000,-565.0000000000,2.9472000000,24.0000000000,,601.6000000000,,,2.9400000000,,-0.3800000000,1093.0000000000,337.6800000000,,-102.1800000000,,1.0000000000,5779.0000000000,104.0000000000,-115.0000000000,,132.0000000000,-0.1080000000,,157.0000000000,-142.0000000000,287.8873300000,46.2762410000,12.7910000000,0.0
43,,,998,0.0,0.0,,,41.4395866200,0.0755700000,-0.0755700000,208.9320300000,0.0014200000,-0.0014200000,355.0000000000,0.0400000000,-355.0000000000,10.5989000000,88.0000000000,-88.0000000000,2793.1000000000,22.6000000000,,5.5000000000,1.5700000000,-0.9600000000,516.0000000000,16.7200000000,14.6600000000,-6.6400000000,141.1000000000,1.0000000000,5468.0000000000,180.0000000000,,,153.0000000000,-187.0000000000,1046.0000000000,297.0000000000,-183.0000000000,295.5550500000,49.0173420000,15.4000000000,0.0
,11391957,CANDIDATE,1.0,0.0,0.0,0.0,0.0,,,,171.6325700000,0.0013300000,,23.0000000000,,,2.2514000000,0.0518000000,-0.0518000000,,,-28.2000000000,2.5200000000,0.5400000000,-0.2400000000,790.0000000000,91.9000000000,59.0600000000,,,1.0000000000,5592.0000000000,152.0000000000,-152.0000000000,4582.0000000000,0.0360000000,-0.1440000000,787.0000000000,,-73.0000000000,285.4992400000,,15317.0000000000,0.0
45,11403044,CANDIDATE,1.0,0.0,0.0,,0.0,4.1255434720,0.0031330000,-0.0031330000,169.7525850000,,-0.0006130000,,235.0000000000,-367.0000000000,,,,,13.3000000000,-13.3000000000,,1.4400000000,-0.5100000000,1243.0000000000,565.3500000000,542.4700000000,-188.1400000000,,1.0000000000,6174.0000000000,173.0000000000,-239.0000000000,,0.0560000000,-0.2100000000,1103.0000000000,358.0000000000,-128.0000000000,,49.2539790000,15.5060000000,0.0
46,11414511,CANDIDATE,1.0,,0.0,,0.0,,0.0000001650,-0.0000001650,170.9676846000,0.0000466000,-0.0000466000,,264.0000000000,-119.0000000000,2.5058700000,0.0066600000,-0.0066600000,16814.0000000000,11.0000000000,-11.0000000000,12.2100000000,,,1219.0000000000,521.1300000000,184.3400000000,-97.9500000000,,1.0000000000,5532.0000000000,74.0000000000,-83.0000000000,4452.0000000000,63.0000000000,,955.0000000000,,,297.0154700000,49.2252880000,15052.0000000000,0.0
47,11442465,FALSE POSITIVE,,0.0,1.0,1.0,0.0,,0.0615400000,-0.0615400000,186.6760800000,0.0013700000,-0.0013700000,812.0000000000,,-9.0000000000,,104.0000000000,-104.0000000000,8503.7000000000,44.3000000000,-44.3000000000,7.3400000000,0.9000000000,-0.6000000000,430.0000000000,8.1100000000,3.2500000000,-2.0600000000,236.1000000000,1.0000000000,5040.0000000000,,-151.0000000000,,0.0300000000,-0.0700000000,705.0000000000,86.0000000000,-58.0000000000,284.1723300000,49.3607220000,15716.0000000000,1.0
48,12110942,CANDIDATE,1.0,0.0,0.0,0.0,0.0,3.6899200990,0.0089820000,,170.3657100000,,-0.0019100000,,304.0000000000,-151.0000000000,2.6557000000,0.0677000000,-0.0677000000,,13.8000000000,,1.8900000000,,-0.2000000000,1147.0000000000,408.9900000000,342.2400000000,-123.3200000000,,,5880.0000000000,157.0000000000,-192.0000000000,4518.0000000000,46.0000000000,,917.0000000000,262.0000000000,-98.0000000000,291.6224100000,50.6182400000,15242.0000000000,0.0
49,12366084,CANDIDATE,1.0,0.0,0.0,0.0,,4.4312384880,0.0000061060,-0.0000061060,,0.0011100000,-0.0011100000,405.0000000000,41.0000000000,-405.0000000000,3.1500000000,,-0.0423000000,,15.2000000000,,3.2500000000,,-0.2500000000,1104.0000000000,351.2300000000,,-68.3300000000,,,5714.0000000000,77.0000000000,-77.0000000000,4428.0000000000,63.0000000000,-0.1170000000,1015.0000000000,148.0000000000,-79.0000000000,295.8161600000,51.1217380000,15367.0000000000,0.0
50,12366084,CANDIDATE,1.0,0.0,0.0,0.0,0.0,11.3793698600,0.0241500000,-0.0241500000,133.8499200000,,-0.0018300000,,9.0000000000,,2.6255000000,,-73.0000000000,1023.5000000000,29.7000000000,-29.7000000000,3.9500000000,0.5700000000,-0.3100000000,,99.6800000000,38.3800000000,-19.3900000000,37.9000000000,2.0000000000,5714.0000000000,77.0000000000,,4428.0000000000,63.0000000000,,1015.0000000000,148.0000000000,-79.0000000000,295.8161600000,51.1217380000,15367.0000000000,0.0
,12404086,CANDIDATE,1.0,0.0,0.0,0.0,0.0,26.3943289700,0.0572400000,-0.0572400000,176.0545900000,,-0.0017600000,602.0000000000,0.2500000000,-396.0000000000,3573.0000000000,0.0643000000,-0.0643000000,1510.9000000000,36.3000000000,-36.3000000000,3.0700000000,0.4100000000,-0.2200000000,489.0000000000,13.4900000000,,-3.2100000000,48.2000000000,1.0000000000,5129.0000000000,,-154.0000000000,4595.0000000000,0.0300000000,-84.0000000000,763.0000000000,103.0000000000,-55.0000000000,289.3997200000,51.2503200000,15.2340000000,0.0
52,8395660,CANDIDATE,1.0,0.0,0.0,0.0,,13.5707828100,,-0.0158500000,136.2791940000,0.0009570000,-0.0009570000,866.0000000000,15.0000000000,-621.0000000000,3.3539000000,0.0489000000,,,6.3000000000,-6.3000000000,2.6400000000,0.4000000000,,785.0000000000,,38.1200000000,-22.9200000000,88.4000000000,1.0000000000,5854.0000000000,105.0000000000,-117.0000000000,4.4060000000,0.0900000000,-0.1100000000,1012.0000000000,154.0000000000,-103.0000000000,300.8639800000,44.3375510000,12882.0000000000,
