ID,Investimento Fundos_cambiais,Investimento Fundos_commodities,Investimento LCI,Investimento LCA,Investimento Poupanca,Investimento Fundos Multimercado,Investimento Tesouro Direto
96326.000,"T","T","F","T","T","F","F"
46106.000,"T","F","F","F","F","F","T"
47811.000,"T","T","T","T","T","T","T"
46662.000,"T","T","T","T","T","T","T"
8089.000,"F","F","F","F","F","F","F"
97720.000,"T","T","F","T","F","F","F"
71179.000,"F","F","F","F","T","F","F"
22404.000,"F","F","F","F","F","F","F"
46836.000,"F","F","F","F","T","F","T"
23388.000,"F","T","F","F","F","F","F"
100209.000,"F","F","F","T","F","F","F"
63911.000,"F","F","F","F","T","F","F"
80459.000,"F","T","F","T","F","F","T"
50684.000,"F","F","F","T","F","F","F"
52627.000,"T","F","T","F","F","F","F"
37840.000,"F","F","F","F","F","F","F"
58657.000,"T","T","T","F","F","F","F"
45650.000,"F","T","F","F","T","T","F"
7037.000,"F","F","T","T","F","F","T"
24194.000,"T","T","T","T","T","T","T"
52491.000,"F","F","F","F","F","F","F"
21651.000,"F","T","T","F","T","F","F"
72742.000,"T","T","T","T","T","T","T"
81751.000,"F","F","F","F","F","T","F"
71201.000,"F","F","F","F","F","F","F"
70894.000,"F","F","T","F","T","F","F"
40163.000,"F","F","F","F","F","F","F"
61219.000,"F","F","F","F","F","F","F"
14126.000,"F","F","T","F","T","F","F"
1837.000,"F","F","F","F","F","F","F"
29475.000,"F","T","F","F","F","F","T"
83781.000,"T","F","F","T","F","F","F"
51449.000,"T","T","T","T","T","F","F"
76783.000,"F","T","F","F","F","F","F"
61266.000,"F","F","F","T","T","T","F"
67729.000,"F","F","F","F","T","T","F"
4552.000,"F","F","F","F","T","F","F"
58975.000,"T","T","T","T","T","F","F"
10529.000,"F","T","F","F","T","F","F"
45509.000,"T","T","T","T","T","T","T"
75363.000,"F","F","F","F","T","F","T"
54050.000,"F","T","F","T","T","F","T"
66768.000,"F","F","F","F","F","F","F"
82073.000,"T","T","T","F","F","F","F"
94162.000,"F","F","T","F","T","T","T"
48158.000,"F","T","F","F","F","T","T"
28642.000,"F","F","F","F","T","F","F"
15879.000,"F","F","F","F","T","F","F"
65662.000,"T","T","T","T","T","T","F"
4656.000,"F","F","F","F","T","T","F"
13026.000,"F","F","F","F","T","T","T"
25004.000,"T","T","T","T","T","T","T"
76153.000,"T","T","T","F","F","F","F"
52990.000,"F","F","F","F","T","F","F"
85222.000,"F","F","F","T","F","F","F"
53307.000,"F","F","F","F","T","F","T"
41954.000,"F","F","F","F","F","T","F"
41954.000,"F","F","F","F","F","T","F"
89720.000,"F","F","F","T","F","T","T"
67821.000,"F","F","F","F","T","F","F"
52830.000,"F","T","F","T","T","F","F"
53529.000,"F","T","T","F","F","F","F"
36679.000,"T","T","T","T","T","T","T"
20156.000,"T","F","F","F","F","T","F"
28484.000,"F","F","T","T","T","F","F"
48721.000,"F","F","F","F","F","F","F"
88001.000,"T","F","F","F","F","F","F"
94301.000,"T","F","F","F","T","F","F"
19441.000,"F","F","F","F","F","T","F"
32220.000,"F","T","T","T","T","F","F"
38257.000,"F","F","T","F","F","T","F"
81525.000,"F","F","F","F","F","F","F"
23184.000,"F","F","T","F","F","F","F"
83050.000,"F","F","F","F","F","F","F"
73993.000,"T","F","F","F","F","F","F"
63565.000,"F","T","T","F","T","T","F"
60842.000,"T","T","T","T","T","T","T"
4837.000,"F","F","F","T","F","F","T"
35690.000,"F","F","T","T","T","F","F"
49960.000,"F","F","F","F","F","F","F"
48908.000,"T","F","T","F","F","F","F"
50396.000,"F","F","F","T","F","F","F"
30261.000,"T","T","T","T","T","F","F"
37832.000,"T","T","T","T","T","F","F"
53476.000,"F","F","F","F","T","F","F"
7682.000,"F","F","F","F","F","F","F"
26880.000,"T","T","T","T","T","T","T"
13243.000,"T","F","F","F","T","F","F"
28696.000,"F","T","F","F","F","T","F"
84798.000,"F","F","T","F","T","F","T"
20929.000,"F","T","F","F","F","F","T"
11807.000,"F","F","F","F","T","T","F"
76923.000,"T","T","T","T","T","F","F"
100585.000,"F","F","F","F","T","T","F"
98302.000,"F","T","F","F","F","F","F"
11966.000,"F","F","F","F","F","F","F"
56937.000,"F","F","F","F","F","F","F"
83253.000,"F","F","T","F","F","F","F"
96011.000,"T","T","T","T","T","T","T"
25365.000,"F","F","F","F","T","F","F"
79466.000,"T","F","F","F","F","F","F"
1892.000,"F","T","T","F","F","T","T"
78889.000,"T","F","T","F","T","F","F"
23201.000,"F","F","T","F","F","F","F"
56320.000,"T","F","F","F","T","F","T"
35538.000,"F","F","T","F","T","F","T"
86427.000,"T","F","F","T","F","F","F"
48927.000,"T","T","F","T","F","F","F"
96707.000,"F","F","F","F","F","F","F"
7317.000,"T","T","T","T","T","T","F"
77104.000,"T","F","F","F","F","F","F"
93013.000,"F","F","T","F","T","T","F"
79426.000,"F","F","F","F","F","F","T"
92862.000,"F","T","F","F","T","F","F"
42964.000,"T","T","T","F","F","F","T"
60984.000,"F","T","T","F","F","F","T"
82598.000,"T","T","T","T","T","T","T"
69687.000,"F","T","F","F","F","F","F"
34296.000,"F","F","F","F","F","F","F"
37387.000,"T","T","T","T","T","T","T"
10645.000,"F","T","F","F","T","F","F"
60295.000,"F","F","F","F","F","F","F"
58299.000,"F","T","T","F","T","F","T"
63203.000,"F","F","F","F","F","F","F"
81831.000,"F","T","T","F","T","F","F"
100153.000,"T","T","T","F","T","F","T"
43793.000,"T","T","T","F","T","F","F"
43793.000,"T","T","T","F","T","F","F"
41202.000,"T","F","F","F","F","F","F"
57217.000,"F","F","F","F","F","T","F"
61930.000,"T","F","F","F","F","F","F"
18818.000,"T","F","F","F","F","F","F"
80003.000,"F","F","F","F","F","F","F"
48925.000,"F","F","F","T","T","T","F"
73299.000,"F","F","F","F","T","F","T"
67083.000,"T","T","T","F","F","F","F"
61907.000,"F","F","F","F","F","F","F"
36554.000,"F","T","F","F","T","F","T"
86764.000,"T","T","T","T","T","T","T"
65178.000,"T","T","T","T","T","T","T"
7149.000,"F","F","F","T","T","T","F"
56260.000,"F","T","F","F","F","F","F"
58788.000,"F","F","T","F","F","F","F"
3675.000,"F","T","F","F","F","F","F"
99407.000,"T","T","T","T","T","F","T"
98097.000,"F","T","T","F","F","F","F"
14413.000,"F","T","F","F","F","T","F"
14413.000,"F","T","F","F","F","T","F"
18896.000,"F","F","T","F","F","T","T"
67816.000,"F","F","F","F","F","F","F"
59200.000,"F","F","F","F","F","T","F"
69816.000,"F","F","F","F","T","F","F"
100364.000,"T","F","F","T","T","T","F"
18488.000,"T","F","F","F","T","F","F"
41639.000,"T","F","F","F","T","F","F"
65953.000,"F","F","F","T","F","F","F"
85079.000,"T","T","T","T","T","T","T"
72783.000,"F","T","F","F","T","F","T"
97640.000,"F","F","T","F","F","T","F"
14931.000,"F","F","F","F","F","F","T"
59605.000,"F","F","F","F","F","F","F"
54888.000,"F","F","F","F","F","F","F"
54956.000,"F","F","F","T","F","F","F"
51095.000,"T","T","T","T","T","T","T"
26112.000,"T","T","T","T","T","T","T"
7789.000,"T","F","F","F","F","F","F"
13611.000,"T","F","T","F","F","F","F"
44404.000,"F","F","F","F","T","F","F"
89206.000,"T","T","F","F","T","F","F"
66282.000,"F","T","T","T","F","T","F"
26203.000,"T","F","F","F","F","T","F"
64057.000,"F","F","F","F","F","T","F"
48350.000,"F","F","F","F","F","T","F"
5670.000,"F","F","T","F","T","F","F"
35832.000,"F","T","F","F","F","F","F"
65205.000,"F","F","F","T","F","F","T"
27065.000,"T","T","T","T","T","F","F"
62632.000,"F","F","F","F","F","T","T"
90324.000,"T","T","T","T","T","F","F"
66558.000,"F","F","F","F","F","F","F"
71617.000,"F","F","T","T","T","F","F"
47139.000,"F","F","T","F","T","F","T"
1715.000,"T","F","F","F","T","F","F"
54297.000,"T","F","F","F","F","F","T"
38244.000,"F","F","F","F","T","T","F"
30412.000,"F","F","F","F","F","F","F"
94666.000,"T","F","F","F","T","F","F"
4080.000,"F","F","F","T","F","F","F"
7739.000,"F","F","F","F","F","F","F"
76062.000,"T","T","T","T","T","T","F"
76754.000,"F","F","F","F","T","F","F"
80675.000,"F","F","T","F","F","F","F"
24680.000,"F","F","T","T","F","F","F"
95873.000,"F","F","F","F","F","F","F"
26416.000,"F","F","F","F","F","F","T"
59357.000,"T","F","F","F","T","F","F"
7089.000,"T","F","T","F","F","F","F"
16501.000,"T","T","T","T","T","T","T"
7389.000,"F","F","F","F","F","F","F"
18135.000,"T","F","F","F","F","F","F"
14373.000,"F","F","F","F","F","F","F"
14373.000,"F","F","F","F","F","F","F"
75840.000,"T","F","F","F","F","F","F"
23605.000,"F","F","T","F","T","F","T"
5203.000,"F","F","T","F","F","F","F"
23691.000,"F","F","F","T","F","T","F"
36249.000,"F","F","F","F","T","F","F"
43625.000,"T","T","T","F","T","F","F"
4099.000,"F","F","T","T","F","F","F"
62960.000,"F","T","F","F","T","T","F"
34953.000,"T","F","T","F","F","F","T"
42303.000,"F","F","F","F","T","F","T"
94880.000,"F","F","F","F","F","F","T"
89289.000,"T","F","T","F","F","F","T"
94247.000,"T","F","F","F","F","F","F"
12569.000,"F","F","F","F","T","F","F"
100963.000,"F","T","F","F","F","F","T"
78046.000,"F","F","F","F","F","T","F"
93692.000,"F","F","F","F","F","T","F"
51906.000,"F","F","T","F","F","F","F"
67388.000,"T","T","T","F","F","F","F"
52640.000,"T","T","F","F","F","F","F"
20182.000,"T","T","F","F","F","F","F"
33231.000,"T","F","F","F","T","T","F"
21219.000,"T","T","T","F","T","F","T"
54363.000,"F","F","F","F","T","F","F"
44347.000,"F","T","T","F","F","F","F"
96189.000,"F","F","F","F","F","F","F"
12399.000,"F","F","T","F","F","F","F"
93246.000,"F","F","F","F","F","F","F"
43841.000,"T","T","T","T","T","F","F"
43841.000,"T","T","T","T","T","F","F"
55619.000,"T","T","T","F","F","F","F"
89127.000,"F","F","T","F","F","F","F"
66108.000,"F","F","T","F","F","F","F"
62243.000,"T","T","T","T","T","T","T"
97482.000,"F","F","F","F","F","T","F"
38980.000,"F","F","F","F","F","F","T"
91363.000,"F","F","F","F","T","F","F"
84814.000,"F","F","F","T","F","T","F"
18474.000,"T","T","T","F","F","F","F"
3534.000,"F","F","F","T","F","T","F"
22172.000,"F","T","F","T","F","F","F"
51884.000,"F","F","T","F","T","F","T"
31513.000,"F","F","F","T","T","F","F"
27139.000,"F","F","T","F","F","F","F"
83987.000,"F","F","F","F","F","T","T"
4162.000,"T","F","F","F","F","F","F"
71528.000,"T","F","F","T","F","T","T"
34048.000,"F","F","F","T","F","F","F"
79262.000,"F","T","F","F","T","F","F"
21124.000,"T","F","F","F","F","F","F"
78190.000,"T","F","F","F","F","F","T"
71866.000,"F","T","F","F","T","F","F"
98414.000,"F","F","F","F","F","F","F"
59823.000,"F","F","T","F","F","F","F"
60841.000,"F","F","F","F","T","F","T"
36354.000,"T","T","T","T","T","F","F"
11023.000,"F","F","F","F","F","F","F"
53975.000,"T","F","F","T","F","F","F"
85319.000,"F","T","F","F","F","F","F"
71282.000,"F","F","F","F","T","F","F"
72237.000,"F","F","F","F","F","T","T"
7209.000,"T","T","T","T","T","T","T"
9322.000,"T","T","F","F","T","F","F"
49812.000,"T","F","F","F","F","F","F"
49804.000,"F","T","F","T","F","F","F"
6726.000,"T","F","F","T","T","F","F"
94105.000,"T","F","F","F","T","F","F"
94301.000,"F","F","F","F","F","T","F"
43423.000,"F","F","F","F","T","F","F"
94923.000,"F","T","F","F","T","F","F"
36178.000,"F","F","T","F","T","F","F"
75380.000,"F","F","T","F","F","F","F"
77313.000,"F","F","T","T","T","F","T"
85759.000,"F","F","F","F","T","F","T"
82712.000,"T","F","F","F","F","F","F"
41182.000,"F","T","F","F","F","T","T"
78507.000,"F","T","F","F","F","F","F"
99934.000,"T","T","T","T","T","F","F"
32915.000,"F","F","F","F","F","F","F"
87640.000,"T","F","F","T","F","F","T"
63839.000,"F","F","T","T","T","F","F"
95770.000,"F","T","F","F","F","T","F"
49975.000,"F","F","F","F","F","F","F"
58161.000,"T","F","F","F","F","F","T"
14774.000,"T","F","T","F","F","F","T"
62915.000,"T","F","T","T","F","F","F"
95555.000,"F","T","F","F","F","F","F"
45518.000,"F","F","T","F","F","F","T"
21929.000,"F","F","F","T","F","F","F"
47527.000,"T","T","F","F","F","F","F"
25807.000,"T","T","T","T","T","F","F"
65104.000,"F","F","F","F","T","F","F"
38516.000,"F","F","F","F","F","T","F"
70909.000,"T","T","T","F","T","F","F"
35232.000,"F","F","F","F","F","F","F"
52514.000,"T","F","F","T","F","F","F"
27300.000,"F","F","F","F","F","F","F"
25174.000,"F","F","F","T","F","F","F"
71571.000,"F","T","F","T","F","F","F"
66892.000,"T","F","F","F","T","F","F"
70929.000,"F","T","F","F","T","F","F"
70322.000,"F","F","T","F","T","F","F"
41036.000,"F","T","T","F","F","F","F"
17785.000,"F","F","F","F","T","T","F"
12203.000,"F","T","F","F","F","F","F"
84274.000,"F","F","F","F","F","F","F"
39356.000,"F","F","F","F","F","T","F"
96068.000,"F","F","F","F","F","F","F"
40113.000,"F","F","T","T","F","F","F"
81238.000,"F","F","F","F","F","F","F"
45634.000,"F","F","F","T","F","F","F"
3256.000,"T","T","T","T","T","F","F"
67094.000,"F","T","F","F","F","F","F"
20091.000,"F","T","T","F","F","F","F"
72099.000,"F","F","F","F","F","F","T"
99497.000,"F","F","T","F","F","F","F"
87230.000,"T","T","T","F","F","T","F"
62384.000,"F","F","F","F","T","F","F"
31509.000,"T","F","F","F","F","T","F"
77611.000,"F","T","F","F","F","T","F"
41512.000,"F","T","F","F","F","F","F"
