ID,Idade,Renda,Regiao,Genero,seguro auto,seguro vida Emp,seguro vida PF,Seguro Residencial
28676.000,36.470,5357.563,"SE",0.000,"F","F","F","T"
96798.000,26.248,5369.394,"S",1.000,"F","F","F","F"
4813.000,44.389,5405.918,"NE",1.000,"F","F","F","F"
58114.000,27.397,5416.785,"SE",0.000,"F","F","F","F"
98092.000,31.234,5417.246,"SE",1.000,"F","F","F","F"
7402.000,31.626,5418.437,"SE",1.000,"T","T","T","T"
47085.000,23.694,5421.977,"NE",0.000,"T","F","F","T"
13792.000,64.738,5428.248,"NE",1.000,"F","F","F","F"
28071.000,26.238,5429.367,"CO",0.000,"F","F","F","F"
16312.000,46.647,5431.473,"S",1.000,"T","T","T","T"
29060.000,48.015,5438.288,"SE",1.000,"T","T","T","T"
82424.000,29.004,5441.584,"NE",1.000,"F","F","F","F"
98383.000,23.464,5444.375,"SE",0.000,"F","F","F","F"
10853.000,57.493,5453.968,"NE",1.000,"F","F","F","T"
2699.000,33.210,5455.523,"CO",1.000,"T","T","T","T"
84814.000,32.476,5464.236,"SE",1.000,"T","T","T","T"
94635.000,22.847,5472.810,"N",0.000,"F","F","F","F"
8524.000,23.388,5487.568,"SE",1.000,"F","T","F","F"
49841.000,45.575,5490.989,"SE",0.000,"T","T","T","T"
38646.000,28.538,5494.781,"SE",1.000,"F","F","F","F"
83672.000,48.439,5495.910,"CO",1.000,"F","F","F","F"
47593.000,62.116,5504.305,"CO",0.000,"T","F","F","F"
91417.000,19.070,5512.500,"SE",1.000,"F","F","F","F"
36725.000,35.670,5513.187,"SE",0.000,"F","F","F","F"
89823.000,54.526,5515.651,"S",0.000,"T","T","T","T"
88054.000,60.889,5518.676,"S",1.000,"T","T","T","T"
9115.000,43.102,5523.266,"SE",0.000,"F","F","F","F"
38001.000,25.907,5525.468,"NE",0.000,"F","F","F","F"
8013.000,29.532,5532.832,"N",0.000,"F","F","F","T"
6531.000,54.300,5533.999,"SE",1.000,"F","F","F","F"
38275.000,22.477,5535.077,"NE",1.000,"F","F","F","T"
85248.000,42.674,5543.895,"SE",1.000,"F","F","F","F"
4167.000,54.662,5552.350,"SE",0.000,"F","F","F","F"
23834.000,25.377,5552.794,"SE",0.000,"T","T","T","T"
16404.000,20.415,5556.839,"CO",1.000,"F","F","F","T"
90933.000,54.029,5559.735,"NE",1.000,"F","F","F","F"
17588.000,36.697,5560.786,"CO",0.000,"F","F","F","F"
18856.000,25.286,5571.745,"SE",1.000,"F","F","F","F"
29806.000,43.354,5572.394,"S",0.000,"F","T","F","T"
85324.000,22.250,5579.135,"S",1.000,"F","F","F","F"
45760.000,23.294,5587.198,"S",0.000,"T","F","F","F"
58082.000,30.766,5589.353,"SE",1.000,"F","F","F","F"
34630.000,27.932,5591.766,"S",0.000,"F","F","F","F"
31009.000,25.222,5599.322,"SE",0.000,"F","F","F","F"
62009.000,20.691,5601.523,"N",1.000,"F","F","T","F"
21018.000,59.838,5609.406,"S",0.000,"F","F","F","F"
40437.000,51.934,5610.742,"CO",0.000,"F","F","T","F"
69857.000,50.295,5610.996,"SE",1.000,"F","F","F","F"
21400.000,53.179,5614.047,"SE",0.000,"T","F","F","F"
50019.000,39.369,5614.341,"CO",0.000,"F","F","F","T"
10845.000,48.941,5621.120,"SE",0.000,"F","F","F","T"
83110.000,65.607,5621.461,"SE",1.000,"T","T","T","T"
69115.000,41.428,5622.394,"S",1.000,"F","F","F","F"
65311.000,20.919,5623.549,"SE",0.000,"F","F","F","T"
43859.000,58.558,5624.765,"S",0.000,"T","T","T","T"
43859.000,58.558,5624.765,"S",0.000,"T","T","T","T"
79023.000,55.237,5626.006,"SE",1.000,"F","T","F","F"
61135.000,25.015,5626.561,"SE",1.000,"T","T","T","T"
29785.000,52.472,5629.293,"S",0.000,"F","F","F","F"
56809.000,28.827,5630.950,"CO",0.000,"F","F","F","F"
3329.000,44.832,5632.308,"SE",0.000,"T","F","F","T"
96957.000,30.014,5634.839,"CO",1.000,"F","F","F","F"
62237.000,20.796,5639.168,"SE",1.000,"F","F","T","F"
29092.000,31.821,5640.391,"SE",1.000,"T","T","T","T"
73421.000,43.301,5642.427,"CO",1.000,"T","T","T","T"
9274.000,70.150,5643.885,"NE",1.000,"F","T","F","F"
43095.000,31.687,5653.847,"SE",1.000,"F","F","T","T"
42879.000,34.493,5654.094,"N",0.000,"F","F","F","F"
45170.000,24.711,5654.903,"SE",0.000,"F","F","F","F"
47587.000,21.628,5656.655,"CO",1.000,"T","T","T","T"
3997.000,47.444,5657.112,"CO",0.000,"T","T","T","T"
73460.000,25.381,5658.062,"SE",0.000,"T","T","T","T"
58869.000,24.172,5664.029,"S",1.000,"F","T","F","F"
32324.000,31.633,5667.263,"S",0.000,"F","F","F","F"
96399.000,48.295,5670.293,"SE",1.000,"F","T","T","F"
18831.000,25.320,5673.081,"SE",0.000,"F","T","F","F"
90762.000,56.411,5673.527,"NE",1.000,"F","F","F","F"
58275.000,42.592,5683.416,"NE",1.000,"F","T","F","F"
82779.000,39.051,5685.412,"CO",0.000,"F","F","F","F"
51353.000,19.115,5688.000,"S",0.000,"F","F","F","T"
2907.000,38.486,5690.776,"SE",1.000,"F","T","F","F"
80200.000,50.693,5697.304,"SE",1.000,"F","F","T","F"
78512.000,31.915,5699.936,"SE",1.000,"T","T","F","F"
37470.000,38.259,5701.552,"SE",1.000,"F","F","F","F"
91484.000,31.284,5701.880,"CO",1.000,"F","F","F","F"
72936.000,26.663,5702.362,"SE",0.000,"T","T","T","T"
66544.000,39.429,5703.305,"SE",0.000,"F","F","F","T"
75962.000,34.083,5710.190,"SE",1.000,"T","T","T","T"
29954.000,34.676,5711.528,"S",1.000,"T","F","F","F"
82107.000,35.947,5714.060,"CO",1.000,"T","T","T","T"
86672.000,30.039,5714.335,"N",0.000,"F","F","F","T"
61979.000,27.886,5716.146,"SE",1.000,"F","F","F","F"
54030.000,26.481,5716.321,"SE",0.000,"T","T","T","T"
73248.000,52.941,5716.609,"SE",0.000,"T","T","T","T"
53067.000,29.070,5716.614,"CO",1.000,"F","F","F","F"
66554.000,46.913,5724.533,"S",1.000,"F","F","F","F"
13207.000,51.373,5725.564,"S",0.000,"F","F","F","F"
6798.000,20.722,5728.291,"SE",1.000,"F","F","F","F"
56061.000,20.030,5733.025,"SE",0.000,"F","T","F","F"
2881.000,30.187,5737.530,"S",0.000,"F","F","F","F"
8733.000,35.747,5738.740,"S",1.000,"F","F","F","F"
58568.000,22.035,5738.897,"CO",0.000,"F","F","F","F"
49393.000,60.169,5739.392,"SE",1.000,"F","T","F","T"
45897.000,18.017,5741.027,"S",1.000,"F","F","F","F"
53874.000,28.869,5748.594,"SE",1.000,"F","T","F","F"
36513.000,49.302,5750.041,"SE",1.000,"F","F","F","F"
53348.000,41.157,5750.139,"S",0.000,"F","F","F","F"
58482.000,24.462,5750.593,"CO",0.000,"T","T","T","T"
23682.000,33.349,5751.683,"S",1.000,"T","F","F","F"
98178.000,58.239,5753.017,"SE",1.000,"F","T","F","F"
31651.000,60.459,5754.546,"SE",0.000,"T","T","T","T"
52321.000,54.024,5759.915,"CO",1.000,"F","F","F","F"
83348.000,37.374,5760.806,"SE",1.000,"F","F","F","F"
97470.000,29.975,5762.946,"SE",0.000,"T","F","F","F"
38053.000,31.093,5764.382,"S",0.000,"T","T","T","T"
18553.000,47.120,5766.711,"CO",1.000,"F","F","F","F"
11916.000,47.247,5767.043,"SE",1.000,"F","F","F","F"
28817.000,46.810,5767.128,"CO",1.000,"T","T","T","T"
59353.000,35.368,5775.045,"SE",0.000,"F","F","F","F"
23546.000,38.859,5775.792,"CO",1.000,"T","T","T","T"
44458.000,24.648,25890.000,"NE",1.000,"F","F","T","T"
1947.000,46.398,5776.368,"S",0.000,"T","T","T","T"
53755.000,43.832,5784.119,"N",1.000,"T","T","T","T"
63311.000,54.560,5785.971,"SE",1.000,"T","T","T","T"
95714.000,69.022,5786.269,"NE",1.000,"F","F","F","F"
100174.000,41.933,5786.414,"S",0.000,"F","F","T","T"
67479.000,37.974,5786.977,"NE",1.000,"F","F","F","F"
64637.000,46.887,5787.982,"S",0.000,"F","F","F","F"
69194.000,35.807,5789.209,"N",0.000,"F","F","F","F"
29920.000,37.201,5789.699,"SE",1.000,"F","F","F","F"
13724.000,45.385,5790.247,"SE",1.000,"F","F","T","T"
53801.000,25.840,5792.190,"CO",1.000,"F","F","F","F"
26062.000,26.587,5793.016,"NE",0.000,"F","T","F","F"
2242.000,29.384,5793.228,"CO",1.000,"F","T","F","F"
32492.000,63.625,5794.823,"SE",0.000,"F","F","F","F"
66724.000,54.981,5795.955,"S",1.000,"F","T","F","F"
20886.000,42.322,5798.154,"SE",0.000,"T","T","T","T"
38655.000,26.720,5803.769,"S",1.000,"F","F","F","T"
48090.000,50.381,5804.771,"SE",0.000,"T","F","F","F"
46804.000,47.213,5805.363,"CO",0.000,"F","F","F","F"
28633.000,41.274,5806.424,"SE",1.000,"F","T","F","F"
87244.000,41.612,5806.832,"SE",1.000,"F","F","F","F"
45411.000,45.464,5811.753,"CO",1.000,"F","T","F","F"
87420.000,50.956,5814.764,"NE",0.000,"F","F","F","T"
12423.000,20.213,5815.023,"NE",1.000,"F","F","F","F"
91164.000,51.399,5816.720,"SE",1.000,"F","F","F","F"
59764.000,46.924,5816.735,"SE",1.000,"F","F","F","F"
67554.000,31.650,5816.857,"CO",1.000,"F","T","F","T"
78640.000,32.690,5819.415,"SE",0.000,"F","T","F","F"
77869.000,58.574,5820.201,"S",0.000,"F","F","F","F"
7192.000,47.313,5820.710,"S",1.000,"F","F","T","F"
7283.000,26.617,5823.363,"CO",0.000,"F","F","F","F"
13501.000,23.849,5823.920,"SE",1.000,"F","T","F","F"
73547.000,25.423,5825.791,"S",1.000,"F","T","F","F"
94552.000,21.268,5826.222,"CO",1.000,"F","F","F","F"
100200.000,55.555,5826.889,"S",0.000,"F","F","F","F"
96284.000,35.228,5828.453,"NE",0.000,"F","F","F","F"
48577.000,44.706,5830.778,"CO",0.000,"T","T","F","F"
9332.000,54.310,5832.833,"SE",0.000,"F","F","F","F"
46447.000,29.757,5837.779,"SE",0.000,"F","F","T","T"
10607.000,33.933,5838.606,"SE",1.000,"F","F","F","T"
77230.000,45.978,5842.300,"N",0.000,"F","F","F","F"
7050.000,31.120,5843.502,"CO",0.000,"F","F","F","F"
37740.000,21.589,5843.916,"SE",0.000,"F","F","F","F"
96027.000,51.062,5846.080,"SE",0.000,"T","T","T","T"
20517.000,35.822,32456.000,"SE",1.000,"T","T","T","T"
88597.000,26.275,5846.332,"SE",0.000,"F","F","F","T"
8205.000,40.657,5847.282,"NE",0.000,"F","F","T","F"
38376.000,24.352,5848.917,"CO",0.000,"F","F","F","F"
92102.000,25.436,5848.923,"CO",0.000,"F","F","F","F"
11573.000,49.978,5849.368,"CO",0.000,"T","T","T","T"
17206.000,40.361,5851.398,"CO",1.000,"F","T","F","F"
7279.000,27.268,5851.570,"S",0.000,"F","F","F","F"
98791.000,38.340,5852.419,"NE",0.000,"F","F","T","T"
42762.000,21.880,5856.447,"SE",0.000,"F","F","F","T"
75242.000,34.276,5857.633,"S",0.000,"F","F","F","F"
23723.000,43.815,5858.251,"SE",1.000,"F","T","F","F"
9424.000,30.661,5858.459,"SE",1.000,"F","F","F","F"
67019.000,30.015,5858.637,"S",0.000,"F","F","F","F"
68316.000,45.734,5860.098,"N",1.000,"F","F","F","F"
27343.000,26.093,5861.180,"SE",1.000,"T","T","T","T"
26005.000,41.346,5861.190,"SE",0.000,"F","T","F","F"
78943.000,45.752,5865.937,"S",1.000,"F","F","F","F"
14422.000,56.839,5865.943,"SE",0.000,"F","F","F","F"
14422.000,56.839,5865.943,"SE",0.000,"F","F","F","F"
88910.000,28.458,5866.299,"N",0.000,"F","T","F","F"
40707.000,31.219,5868.404,"SE",1.000,"F","F","F","F"
59582.000,42.928,5868.459,"SE",0.000,"F","F","F","F"
29988.000,29.049,5868.581,"SE",1.000,"F","T","F","F"
100262.000,37.425,5876.697,"SE",1.000,"F","F","F","T"
87100.000,36.134,5876.873,"SE",1.000,"T","T","T","T"
10680.000,36.365,5877.272,"CO",1.000,"F","F","F","F"
22909.000,35.050,5879.891,"S",1.000,"F","F","T","F"
95282.000,66.434,5880.142,"CO",0.000,"F","F","F","T"
53799.000,39.831,5880.807,"SE",0.000,"F","F","F","F"
20066.000,22.885,5882.619,"NE",1.000,"F","F","F","F"
91708.000,54.251,5882.690,"N",0.000,"F","F","T","F"
44997.000,33.560,5887.372,"CO",0.000,"T","T","T","T"
73222.000,36.369,5891.036,"SE",1.000,"T","T","T","T"
17811.000,48.420,5891.859,"SE",0.000,"T","F","F","F"
18780.000,39.460,5895.123,"SE",1.000,"F","T","F","T"
13540.000,29.157,5895.253,"SE",1.000,"T","T","T","T"
19855.000,27.903,5897.331,"SE",1.000,"F","F","F","F"
85346.000,38.290,5897.410,"SE",1.000,"T","F","F","T"
96068.000,44.667,5897.668,"S",0.000,"F","F","F","F"
43298.000,51.662,5898.905,"S",0.000,"F","F","F","F"
31125.000,38.405,5907.152,"SE",0.000,"F","T","F","F"
63707.000,24.555,5908.606,"SE",0.000,"T","T","T","T"
16152.000,36.586,5909.212,"SE",1.000,"F","F","F","F"
43870.000,43.438,45678.000,"SE",0.000,"F","F","F","T"
43870.000,43.438,5909.603,"SE",0.000,"F","F","F","T"
56390.000,56.764,5911.091,"S",1.000,"F","T","F","T"
39723.000,39.430,5917.307,"CO",0.000,"F","F","F","F"
25387.000,27.459,5919.032,"SE",1.000,"F","F","F","F"
16383.000,62.974,5922.116,"SE",1.000,"F","T","F","F"
7937.000,51.983,5923.168,"S",1.000,"T","T","T","T"
20668.000,20.926,5926.062,"NE",1.000,"T","T","T","T"
26425.000,24.898,5930.534,"NE",1.000,"F","F","F","F"
92148.000,38.190,5932.034,"CO",0.000,"F","F","F","F"
39559.000,33.255,5933.430,"S",1.000,"T","F","F","F"
97575.000,35.501,5933.731,"S",0.000,"F","F","F","F"
24128.000,38.686,5936.556,"SE",1.000,"F","F","T","F"
97507.000,51.759,5937.426,"SE",1.000,"F","F","F","F"
8655.000,44.494,5937.877,"S",1.000,"F","F","F","F"
35990.000,48.739,5941.076,"SE",1.000,"F","F","F","F"
54519.000,40.594,5941.080,"CO",0.000,"F","F","F","F"
8026.000,26.320,5941.247,"NE",1.000,"F","T","F","F"
29389.000,40.920,5941.967,"SE",0.000,"T","T","T","T"
99702.000,37.046,5943.274,"SE",0.000,"F","F","F","F"
51630.000,32.687,5944.136,"NE",1.000,"F","F","F","F"
31369.000,39.199,5945.188,"S",1.000,"T","T","T","T"
13021.000,61.178,5947.519,"CO",1.000,"F","F","F","F"
46501.000,45.825,5947.651,"SE",1.000,"F","F","F","F"
40496.000,25.331,5950.427,"SE",0.000,"T","T","T","T"
79868.000,24.674,5950.707,"SE",1.000,"T","T","T","T"
10512.000,18.672,5950.921,"SE",1.000,"F","T","F","F"
43964.000,36.679,5951.625,"SE",1.000,"F","F","F","F"
56295.000,51.018,5951.965,"SE",0.000,"F","T","F","F"
30396.000,36.982,5951.980,"SE",1.000,"T","F","F","F"
27781.000,45.622,5953.345,"SE",1.000,"F","F","F","T"
33430.000,67.835,5954.905,"S",1.000,"T","T","F","F"
71203.000,37.429,5955.345,"SE",1.000,"F","F","F","F"
43104.000,50.206,5955.564,"SE",1.000,"F","F","F","F"
25588.000,57.083,5956.378,"S",0.000,"F","F","F","F"
28154.000,46.664,5956.658,"SE",0.000,"T","T","T","T"
81334.000,24.282,5960.495,"S",1.000,"F","F","F","F"
19596.000,34.589,5962.184,"CO",0.000,"F","F","F","T"
26467.000,34.392,5962.481,"CO",1.000,"T","T","T","T"
19262.000,39.162,5965.255,"CO",1.000,"F","F","F","F"
37383.000,30.095,5965.309,"SE",1.000,"F","T","F","F"
92500.000,53.764,5965.813,"S",1.000,"F","F","F","T"
45559.000,33.174,5966.326,"SE",1.000,"T","T","T","T"
14642.000,52.965,5969.077,"SE",1.000,"T","T","T","T"
92550.000,25.799,5970.163,"SE",1.000,"F","T","F","F"
56569.000,37.588,5970.398,"SE",1.000,"F","F","F","F"
52914.000,55.948,5973.981,"SE",0.000,"T","F","F","F"
98402.000,50.406,5974.047,"SE",0.000,"F","F","F","F"
51384.000,57.285,5975.963,"NE",0.000,"F","F","F","F"
12945.000,21.304,5976.767,"S",1.000,"F","F","F","F"
54856.000,33.675,5978.603,"NE",0.000,"F","F","F","F"
95231.000,27.326,5981.164,"SE",0.000,"F","F","F","F"
3708.000,35.757,5981.476,"NE",1.000,"F","F","F","T"
93293.000,31.242,5984.084,"SE",1.000,"T","F","T","T"
66645.000,27.378,5985.133,"SE",0.000,"F","F","F","F"
79971.000,35.855,43526.000,"SE",1.000,"F","F","T","F"
22878.000,42.526,5986.082,"NE",1.000,"F","F","F","F"
28488.000,26.271,5988.229,"S",1.000,"T","T","T","T"
60789.000,29.673,5989.141,"SE",1.000,"F","T","F","F"
92927.000,48.918,5989.218,"SE",0.000,"F","T","F","T"
47391.000,43.305,5989.958,"SE",0.000,"F","F","F","F"
80401.000,42.342,5990.830,"SE",1.000,"F","F","F","F"
2769.000,41.158,5991.072,"SE",1.000,"T","T","T","T"
80600.000,30.282,5992.813,"SE",0.000,"F","F","F","T"
57245.000,56.455,5994.178,"SE",0.000,"F","T","F","T"
5684.000,40.916,5996.044,"CO",0.000,"F","F","F","T"
31891.000,33.352,5997.772,"SE",0.000,"T","T","T","T"
31961.000,28.527,6001.028,"SE",1.000,"F","F","F","F"
47991.000,42.361,6001.065,"SE",0.000,"T","T","T","T"
95017.000,58.442,6001.106,"NE",0.000,"T","T","T","T"
100109.000,41.036,6004.125,"S",1.000,"F","T","F","F"
64278.000,41.303,6004.383,"N",0.000,"F","F","F","F"
31957.000,38.268,6005.826,"NE",1.000,"F","F","F","F"
62049.000,47.529,6006.465,"SE",1.000,"F","F","F","T"
60472.000,24.821,6006.926,"NE",0.000,"T","T","T","T"
5700.000,44.661,6007.903,"SE",0.000,"F","F","F","F"
85412.000,33.520,6008.180,"CO",0.000,"F","F","F","F"
25276.000,84.282,6008.477,"SE",1.000,"F","T","F","F"
47348.000,34.947,6008.582,"SE",1.000,"F","F","F","F"
59031.000,46.135,6010.259,"SE",0.000,"F","T","F","T"
68325.000,43.677,6010.346,"CO",0.000,"T","T","T","T"
96326.000,61.471,6011.041,"S",0.000,"T","F","F","F"
46106.000,36.425,6011.164,"SE",1.000,"F","F","F","F"
47811.000,44.614,6011.269,"SE",1.000,"T","T","T","T"
46662.000,32.253,6014.261,"SE",0.000,"F","F","F","F"
8089.000,24.408,6015.238,"CO",1.000,"T","T","T","T"
97720.000,18.415,6017.467,"NE",1.000,"T","T","T","T"
71179.000,53.966,6018.279,"SE",0.000,"F","F","F","T"
22404.000,42.408,6019.184,"SE",0.000,"T","T","T","T"
46836.000,36.191,6020.549,"SE",0.000,"F","F","T","F"
23388.000,20.251,6020.899,"SE",1.000,"F","T","F","F"
100209.000,46.544,6022.260,"NE",1.000,"F","F","F","F"
63911.000,55.210,6024.400,"NE",1.000,"F","T","F","F"
80459.000,25.352,6024.422,"SE",0.000,"F","F","F","F"
50684.000,38.852,6027.483,"CO",1.000,"T","F","F","F"
52627.000,37.477,6027.607,"CO",0.000,"F","T","F","T"
37840.000,49.319,6028.200,"SE",1.000,"F","F","F","F"
58657.000,58.897,6028.284,"SE",0.000,"T","F","T","F"
45650.000,36.605,6028.511,"SE",1.000,"F","F","F","F"
7037.000,26.529,6028.819,"NE",0.000,"F","F","F","F"
24194.000,41.807,6031.233,"NE",0.000,"T","T","T","T"
52491.000,26.459,6033.043,"SE",0.000,"T","F","F","F"
21651.000,18.047,6033.477,"CO",0.000,"F","F","F","F"
72742.000,24.561,6036.683,"NE",1.000,"F","F","T","F"
81751.000,40.182,6037.295,"S",0.000,"F","F","F","F"
71201.000,43.536,6037.302,"SE",0.000,"T","F","F","F"
70894.000,37.217,6037.790,"SE",1.000,"F","T","F","T"
40163.000,38.420,6038.325,"S",1.000,"F","F","F","F"
61219.000,34.515,6039.449,"N",0.000,"F","F","F","T"
14126.000,27.408,6041.334,"NE",1.000,"F","F","F","F"
1837.000,33.614,6041.935,"CO",1.000,"F","F","F","F"
29475.000,59.612,6043.671,"SE",1.000,"F","F","F","T"
83781.000,39.215,6044.070,"NE",1.000,"T","T","T","T"
51449.000,51.960,6045.858,"CO",1.000,"F","T","F","F"
76783.000,35.305,6046.247,"NE",0.000,"F","T","F","F"
61266.000,21.677,6046.284,"NE",1.000,"F","F","F","F"
67729.000,36.101,6047.727,"CO",0.000,"F","F","F","T"
4552.000,43.664,6048.309,"SE",1.000,"F","F","F","T"
58975.000,53.799,6050.025,"NE",1.000,"F","T","F","F"
10529.000,30.776,6050.669,"SE",1.000,"F","F","F","F"
45509.000,43.884,6051.743,"SE",1.000,"F","F","F","F"
75363.000,46.562,6052.325,"SE",1.000,"F","F","F","F"
54050.000,43.464,6052.405,"CO",0.000,"T","T","T","T"
66768.000,34.668,6052.919,"NE",0.000,"F","F","F","F"
82073.000,33.156,6053.848,"NE",0.000,"F","T","F","T"
94162.000,37.078,6056.134,"S",1.000,"F","F","F","T"
48158.000,21.762,6056.666,"SE",0.000,"F","F","F","T"
28642.000,44.361,6057.896,"CO",1.000,"F","F","F","F"
15879.000,46.380,6058.072,"NE",1.000,"T","F","F","F"
65662.000,43.898,6058.199,"NE",0.000,"T","T","T","T"
4656.000,26.109,6059.256,"S",0.000,"F","F","F","F"
13026.000,21.479,6059.284,"NE",1.000,"T","T","T","T"
25004.000,30.770,6059.471,"SE",0.000,"F","F","F","F"
76153.000,19.467,6060.329,"CO",1.000,"F","T","F","F"
52990.000,42.540,6061.155,"CO",0.000,"F","F","F","F"
85222.000,26.364,6061.670,"SE",1.000,"F","F","F","F"
53307.000,34.569,6062.678,"S",0.000,"F","F","F","F"
41954.000,51.090,123222.000,"SE",1.000,"T","T","F","T"
41954.000,51.090,6063.430,"SE",1.000,"T","T","F","T"
89720.000,29.558,6066.164,"SE",1.000,"F","F","F","F"
67821.000,64.837,6066.340,"S",0.000,"T","T","T","T"
52830.000,56.052,6067.203,"SE",0.000,"F","F","F","T"
53529.000,23.337,6067.393,"NE",1.000,"T","T","T","T"
36679.000,51.097,6069.006,"SE",1.000,"T","T","T","T"
20156.000,23.508,6069.014,"CO",1.000,"F","F","F","T"
28484.000,42.344,6074.149,"CO",0.000,"F","F","F","F"
48721.000,38.174,6074.308,"SE",0.000,"F","F","T","F"
88001.000,31.014,6074.676,"NE",1.000,"F","F","F","F"
94301.000,42.748,6077.351,"S",1.000,"F","F","F","F"
19441.000,39.279,6077.499,"SE",1.000,"F","F","F","F"
32220.000,56.184,6078.866,"CO",0.000,"T","F","F","F"
38257.000,47.693,6079.205,"NE",1.000,"F","F","F","F"
81525.000,46.731,6079.392,"NE",0.000,"F","F","F","F"
23184.000,32.696,6079.491,"CO",1.000,"F","F","F","F"
83050.000,31.135,6080.281,"SE",0.000,"F","F","F","F"
73993.000,43.314,6080.419,"S",1.000,"F","T","F","F"
63565.000,52.074,6081.637,"SE",1.000,"T","F","F","F"
60842.000,38.655,6082.297,"S",0.000,"F","T","F","T"
4837.000,45.664,6083.800,"NE",0.000,"F","F","T","F"
35690.000,47.987,6083.860,"CO",0.000,"F","F","F","F"
49960.000,29.117,6084.530,"S",1.000,"F","F","F","F"
48908.000,32.516,6085.464,"SE",1.000,"T","T","T","T"
50396.000,49.459,6085.880,"SE",1.000,"F","F","F","F"
30261.000,42.703,6088.966,"CO",1.000,"T","T","T","T"
37832.000,35.301,6090.964,"SE",1.000,"T","T","T","T"
53476.000,40.228,6091.881,"SE",1.000,"T","T","T","T"
7682.000,38.488,6094.004,"CO",0.000,"F","F","F","F"
26880.000,19.542,6095.510,"SE",0.000,"T","T","T","T"
13243.000,67.874,6096.261,"NE",0.000,"T","T","T","T"
28696.000,29.486,6099.078,"CO",0.000,"T","F","F","F"
84798.000,43.473,6099.620,"SE",0.000,"T","T","T","T"
20929.000,28.016,6100.264,"S",1.000,"F","F","F","T"
11807.000,56.235,6101.258,"CO",1.000,"F","F","F","F"
76923.000,47.905,6101.346,"NE",1.000,"F","F","F","F"
100585.000,36.450,6101.979,"SE",0.000,"F","F","F","F"
98302.000,19.261,6104.782,"N",0.000,"T","T","T","T"
11966.000,51.102,6105.159,"N",1.000,"F","F","F","F"
56937.000,44.940,6107.533,"SE",1.000,"F","F","F","T"
83253.000,47.025,6108.199,"CO",1.000,"F","T","F","F"
96011.000,34.803,6108.705,"S",1.000,"F","F","F","F"
25365.000,24.152,6108.928,"SE",1.000,"F","F","F","F"
79466.000,19.334,6108.972,"CO",0.000,"T","F","F","F"
