ID,Financiamento Casa,Financiamento Carro,Emprestimo _pessoal,Emprestimo _consignado,Emprestimo _limite_especial,Emprestimo _educacao,Emprestimo _viagem,Investimento CDB,Investimento Fundos
61352.000,"F","F","F","T","F","F","T","F","F"
93852.000,"F","F","F","F","F","F","F","F","F"
94523.000,"F","F","F","F","F","F","F","T","F"
87793.000,"T","T","F","F","F","F","F","T","F"
98296.000,"F","T","F","F","F","F","F","T","F"
92090.000,"F","F","F","F","F","F","F","F","F"
42783.000,"F","F","T","F","F","F","F","F","T"
97924.000,"F","F","F","F","F","F","F","T","T"
28676.000,"F","F","F","F","F","F","F","T","F"
96798.000,"F","F","F","F","F","F","F","F","F"
4813.000,"F","F","F","F","F","F","F","F","F"
58114.000,"F","F","F","F","F","F","F","F","F"
98092.000,"F","F","F","F","F","F","F","T","F"
7402.000,"T","T","T","T","T","F","F","T","F"
47085.000,"F","F","F","F","F","F","F","F","F"
13792.000,"F","F","F","T","F","F","F","F","F"
28071.000,"F","F","F","F","F","F","F","T","F"
16312.000,"F","F","F","F","F","F","F","F","F"
29060.000,"F","T","T","T","T","T","T","T","T"
82424.000,"F","F","F","F","F","F","F","T","T"
98383.000,"F","F","F","F","F","F","F","F","F"
10853.000,"F","F","F","F","F","F","F","T","F"
2699.000,"F","F","F","F","F","F","F","T","T"
84814.000,"T","T","T","T","T","F","F","F","T"
94635.000,"F","F","F","F","F","F","T","T","T"
8524.000,"F","F","T","T","T","T","T","T","T"
49841.000,"F","F","F","F","F","F","F","T","T"
38646.000,"F","F","T","F","T","F","F","T","F"
83672.000,"F","F","F","F","F","F","F","F","F"
47593.000,"F","T","F","F","F","F","F","F","F"
91417.000,"F","F","T","F","F","F","F","F","F"
36725.000,"F","F","F","F","F","F","F","F","F"
89823.000,"F","F","T","T","T","T","T","T","T"
88054.000,"F","F","T","F","F","F","F","T","T"
9115.000,"F","F","F","F","F","F","T","F","F"
38001.000,"F","F","F","F","F","T","F","F","F"
8013.000,"F","F","F","F","F","F","F","T","T"
6531.000,"F","F","F","F","F","F","F","F","F"
38275.000,"F","T","F","F","F","F","F","T","F"
85248.000,"F","T","F","F","F","F","F","T","F"
4167.000,"F","T","F","F","F","F","F","F","F"
23834.000,"T","T","T","T","T","F","F","F","F"
16404.000,"F","F","F","F","F","F","F","F","T"
90933.000,"F","T","F","F","F","F","T","T","T"
17588.000,"F","F","F","F","F","F","T","F","F"
18856.000,"F","T","F","T","F","F","F","F","T"
29806.000,"F","F","F","F","F","F","T","T","T"
85324.000,"F","F","F","F","F","F","F","T","F"
45760.000,"F","F","F","F","F","F","F","F","T"
58082.000,"F","F","F","F","F","F","F","F","F"
34630.000,"F","F","F","F","F","F","F","T","F"
31009.000,"F","F","F","F","T","F","F","F","F"
62009.000,"F","T","F","F","F","F","F","F","F"
21018.000,"F","F","T","F","F","F","F","T","T"
40437.000,"F","F","F","F","F","F","F","T","T"
69857.000,"F","F","F","F","F","F","F","F","T"
21400.000,"F","T","F","F","F","F","F","T","F"
50019.000,"F","F","F","F","F","F","F","F","T"
10845.000,"F","F","F","F","F","F","F","F","F"
83110.000,"F","F","F","F","F","F","T","T","T"
69115.000,"F","T","F","F","F","F","F","F","F"
65311.000,"F","F","F","F","F","F","F","T","F"
43859.000,"F","F","F","F","F","F","F","T","T"
43859.000,"F","F","F","F","F","F","F","T","T"
79023.000,"F","F","F","F","F","F","T","T","F"
61135.000,"F","T","T","T","T","F","F","F","F"
29785.000,"F","F","F","F","F","F","F","F","F"
56809.000,"F","F","F","F","F","T","F","F","F"
3329.000,"T","F","T","F","F","F","F","T","F"
96957.000,"F","F","F","T","F","F","F","T","T"
62237.000,"F","F","F","F","F","F","F","F","F"
29092.000,"F","F","T","T","T","T","T","T","T"
73421.000,"F","T","F","F","F","F","F","T","F"
9274.000,"F","F","F","F","F","T","F","T","F"
43095.000,"F","T","F","T","F","F","F","T","F"
42879.000,"F","F","F","F","F","F","F","T","F"
45170.000,"F","T","F","F","F","F","F","T","F"
47587.000,"F","F","F","F","F","F","F","T","T"
3997.000,"T","T","T","T","T","F","F","F","T"
73460.000,"F","F","F","F","F","F","F","T","F"
58869.000,"F","F","F","F","F","F","F","T","F"
32324.000,"F","T","F","F","F","F","F","T","F"
96399.000,"F","T","T","F","F","F","F","F","F"
18831.000,"F","F","F","F","F","F","F","F","F"
90762.000,"F","F","F","F","F","F","F","F","F"
58275.000,"F","F","F","F","F","F","F","T","F"
82779.000,"F","F","F","F","F","T","T","F","T"
51353.000,"F","T","F","F","F","F","F","T","F"
2907.000,"F","T","F","F","F","T","T","T","T"
80200.000,"F","F","F","F","F","F","F","T","F"
78512.000,"F","F","T","T","T","T","T","T","T"
37470.000,"F","F","F","F","T","F","F","F","F"
91484.000,"F","F","F","F","T","F","F","F","F"
72936.000,"F","T","T","T","T","F","F","T","F"
66544.000,"F","F","F","F","F","F","F","F","F"
75962.000,"T","T","T","T","T","F","F","T","T"
29954.000,"F","F","F","F","F","F","T","T","F"
82107.000,"T","T","T","T","T","F","F","T","T"
86672.000,"F","F","F","F","F","F","F","F","T"
61979.000,"F","F","F","F","F","F","F","T","F"
54030.000,"T","F","F","F","F","F","F","F","F"
73248.000,"F","F","T","T","T","F","F","F","T"
53067.000,"F","T","F","F","F","F","F","F","F"
66554.000,"T","F","F","F","F","F","F","T","F"
13207.000,"F","T","F","F","F","F","F","F","F"
6798.000,"F","T","F","F","F","T","T","T","T"
56061.000,"F","F","F","T","F","F","F","T","F"
2881.000,"F","F","F","F","F","F","F","T","F"
8733.000,"F","T","F","T","F","F","F","F","T"
58568.000,"F","F","F","F","F","T","F","T","F"
49393.000,"F","F","F","F","F","F","F","F","F"
45897.000,"F","F","F","F","F","F","T","F","F"
53874.000,"F","F","F","F","F","F","T","F","F"
36513.000,"F","F","F","F","F","F","F","T","F"
53348.000,"F","F","F","F","T","T","T","T","T"
58482.000,"F","T","F","F","F","F","F","T","F"
23682.000,"F","T","T","F","F","F","F","T","F"
98178.000,"F","F","T","T","T","T","T","T","T"
31651.000,"T","T","T","T","T","T","F","F","F"
52321.000,"F","F","F","F","F","F","F","F","F"
83348.000,"F","F","F","F","F","F","F","T","F"
97470.000,"F","T","F","F","F","F","F","F","F"
38053.000,"F","T","F","F","F","F","F","T","F"
18553.000,"F","T","F","F","F","T","T","T","T"
11916.000,"F","F","F","F","F","F","F","T","F"
28817.000,"F","F","F","F","F","F","F","F","F"
59353.000,"F","F","T","F","F","F","F","F","F"
23546.000,"T","T","T","T","T","T","F","F","F"
44458.000,"F","T","F","F","F","F","F","F","F"
1947.000,"F","F","F","F","F","F","F","T","F"
53755.000,"F","T","T","T","T","T","T","T","T"
63311.000,"F","F","F","F","F","F","F","T","T"
95714.000,"F","F","F","F","T","F","F","F","F"
100174.000,"T","T","T","T","T","F","F","F","T"
67479.000,"F","F","F","F","F","T","T","T","T"
64637.000,"F","F","F","F","F","F","F","F","F"
69194.000,"F","F","F","F","F","F","F","F","T"
29920.000,"F","T","F","F","F","F","T","F","F"
13724.000,"F","F","F","F","F","F","F","T","T"
53801.000,"F","F","F","F","F","F","T","F","F"
26062.000,"F","F","F","F","F","F","F","T","T"
2242.000,"F","F","F","F","F","F","F","F","F"
32492.000,"F","T","F","F","F","F","F","F","F"
66724.000,"F","F","F","F","F","F","T","F","F"
20886.000,"F","F","T","F","F","F","F","F","F"
38655.000,"F","T","F","F","F","F","F","F","F"
48090.000,"F","F","F","F","F","F","F","T","F"
46804.000,"F","F","F","F","F","T","T","T","T"
28633.000,"F","F","F","F","F","F","F","T","T"
87244.000,"F","F","F","F","F","F","F","F","F"
45411.000,"F","F","F","F","F","F","F","T","T"
87420.000,"F","F","F","F","T","F","F","T","F"
12423.000,"F","F","F","F","F","F","T","T","F"
91164.000,"T","F","T","F","F","F","F","F","F"
59764.000,"T","F","T","T","T","T","T","T","T"
67554.000,"F","F","F","F","F","F","F","F","F"
78640.000,"F","F","T","F","F","F","F","F","F"
77869.000,"F","F","F","F","F","F","F","T","T"
7192.000,"F","F","F","F","F","F","F","F","F"
7283.000,"F","F","F","F","F","F","F","F","F"
13501.000,"F","F","F","T","F","T","F","T","F"
73547.000,"F","T","T","T","T","T","T","T","T"
94552.000,"F","T","F","F","F","F","F","F","F"
100200.000,"F","F","F","F","F","F","F","T","F"
96284.000,"F","F","F","F","T","F","F","F","F"
48577.000,"F","F","F","F","F","F","F","F","F"
9332.000,"F","F","F","F","F","F","F","F","T"
46447.000,"T","T","T","T","T","F","F","T","F"
10607.000,"F","F","F","F","F","F","F","F","T"
77230.000,"F","F","F","F","F","F","T","F","F"
7050.000,"F","F","F","F","F","F","F","T","F"
37740.000,"F","F","F","F","T","T","T","T","T"
96027.000,"T","T","T","T","T","T","T","T","T"
20517.000,"F","F","F","F","F","F","F","F","F"
88597.000,"F","F","F","F","F","F","F","T","F"
8205.000,"F","F","F","F","F","F","F","T","F"
38376.000,"F","T","F","T","F","F","F","T","T"
92102.000,"F","T","F","F","F","F","F","T","F"
11573.000,"F","F","F","F","F","F","F","F","F"
17206.000,"F","F","T","F","F","F","T","F","F"
7279.000,"F","F","F","F","F","F","F","F","F"
98791.000,"T","T","T","T","T","T","T","F","F"
42762.000,"F","F","F","F","F","F","F","F","F"
75242.000,"F","F","F","F","F","F","F","F","F"
23723.000,"F","F","F","F","F","F","F","F","F"
9424.000,"F","F","F","F","F","F","F","T","T"
67019.000,"F","F","F","F","F","F","F","T","F"
68316.000,"F","F","F","F","F","F","F","F","F"
27343.000,"T","T","T","T","T","F","F","F","F"
26005.000,"F","F","F","F","F","F","F","F","F"
78943.000,"F","F","F","F","T","F","F","F","F"
14422.000,"F","F","F","F","F","F","F","T","F"
14422.000,"F","F","F","F","F","F","F","T","F"
88910.000,"F","F","F","F","F","F","F","F","F"
40707.000,"F","F","F","F","F","F","F","T","F"
59582.000,"F","F","F","T","F","F","F","F","T"
29988.000,"F","F","F","F","F","T","F","F","F"
100262.000,"T","T","T","T","T","T","T","T","T"
87100.000,"F","F","F","T","F","F","F","T","F"
10680.000,"F","F","F","F","F","F","F","F","F"
22909.000,"F","F","F","F","F","F","T","T","F"
95282.000,"F","F","F","F","F","F","F","F","T"
53799.000,"F","F","F","F","F","F","F","F","F"
20066.000,"F","F","T","F","F","F","F","F","T"
91708.000,"F","F","F","F","F","F","F","T","T"
44997.000,"F","F","F","F","F","F","F","T","F"
73222.000,"F","F","F","F","F","F","F","T","F"
17811.000,"F","F","F","F","F","F","T","T","F"
18780.000,"F","T","F","F","F","F","F","T","F"
13540.000,"F","F","F","F","F","F","F","T","T"
19855.000,"F","T","F","F","F","F","F","T","F"
85346.000,"F","T","T","T","T","T","T","T","T"
96068.000,"F","F","F","F","T","F","F","F","F"
43298.000,"F","F","F","F","F","T","F","F","F"
31125.000,"F","F","F","F","F","F","F","F","T"
63707.000,"F","F","F","T","F","F","F","F","F"
16152.000,"F","F","F","F","T","F","F","T","F"
43870.000,"F","F","F","F","F","F","F","T","F"
43870.000,"F","F","F","F","F","F","F","T","F"
56390.000,"F","F","F","F","F","F","F","F","F"
39723.000,"F","T","F","F","F","T","T","T","T"
25387.000,"F","F","F","F","F","F","T","T","T"
16383.000,"F","F","F","F","F","F","F","T","F"
7937.000,"T","T","T","T","T","F","F","F","F"
20668.000,"F","F","T","T","T","T","T","T","T"
26425.000,"F","F","F","F","F","F","F","T","F"
92148.000,"F","F","F","F","F","F","T","T","F"
39559.000,"T","F","F","F","F","F","F","T","F"
97575.000,"F","F","F","F","F","F","F","F","F"
24128.000,"F","F","F","F","F","F","F","F","T"
97507.000,"F","F","F","F","F","T","T","F","T"
8655.000,"F","F","F","F","F","F","F","F","F"
35990.000,"F","F","F","F","F","F","F","F","F"
54519.000,"F","F","F","F","T","F","F","T","F"
8026.000,"F","F","F","T","F","F","F","T","F"
29389.000,"F","F","F","F","F","F","F","F","F"
99702.000,"F","T","F","F","F","F","F","F","T"
51630.000,"T","F","F","F","F","F","F","T","F"
31369.000,"F","F","F","F","F","F","F","F","F"
13021.000,"F","T","T","F","F","F","F","T","F"
46501.000,"F","F","F","F","F","F","F","F","F"
40496.000,"F","F","T","F","F","F","F","F","F"
79868.000,"F","T","F","F","F","F","F","F","F"
10512.000,"F","F","F","T","F","T","T","T","T"
43964.000,"F","T","F","F","F","F","F","T","F"
56295.000,"F","F","F","F","F","F","F","F","T"
30396.000,"T","F","F","F","F","F","F","T","F"
27781.000,"F","F","F","F","F","F","F","F","F"
33430.000,"F","F","F","F","F","F","F","T","F"
71203.000,"F","T","F","T","F","F","F","T","F"
43104.000,"F","F","F","F","F","F","F","T","F"
25588.000,"F","F","F","F","F","F","T","T","F"
28154.000,"T","T","T","T","T","F","F","F","T"
81334.000,"F","T","F","F","T","F","F","T","F"
19596.000,"F","F","F","F","F","F","F","T","T"
26467.000,"F","F","T","F","F","F","F","F","F"
19262.000,"F","F","F","F","F","F","T","F","F"
37383.000,"F","T","T","F","F","F","T","T","T"
92500.000,"F","F","F","F","F","T","T","T","T"
45559.000,"F","F","F","F","F","F","F","F","T"
14642.000,"F","F","F","F","F","F","F","T","T"
92550.000,"F","T","F","F","T","F","F","T","F"
56569.000,"F","F","F","F","F","F","T","F","F"
52914.000,"F","F","T","F","F","F","F","F","F"
98402.000,"F","F","F","F","F","F","F","T","F"
51384.000,"F","F","T","F","T","F","F","F","T"
12945.000,"F","T","F","F","F","F","T","F","T"
54856.000,"F","F","T","T","T","T","T","T","T"
95231.000,"F","F","F","F","F","F","F","T","T"
3708.000,"F","T","F","F","F","F","T","F","F"
93293.000,"T","T","T","F","F","F","F","T","F"
66645.000,"F","F","F","F","F","F","F","F","F"
79971.000,"F","F","F","F","T","F","F","T","F"
22878.000,"F","T","F","F","F","F","F","F","F"
28488.000,"F","F","F","F","F","F","F","T","F"
60789.000,"F","F","F","F","F","F","F","F","T"
92927.000,"F","F","F","T","F","T","T","T","T"
47391.000,"F","F","F","F","F","F","F","F","T"
80401.000,"F","F","T","T","T","T","T","T","T"
2769.000,"T","T","T","T","T","T","F","T","F"
80600.000,"F","F","F","F","F","F","F","F","T"
57245.000,"T","F","F","F","F","F","F","T","F"
5684.000,"F","T","F","F","F","F","T","F","T"
31891.000,"F","F","F","F","F","F","F","F","F"
31961.000,"F","F","F","F","F","F","F","F","F"
47991.000,"F","F","F","F","F","F","F","T","F"
95017.000,"F","T","F","F","F","F","F","F","T"
100109.000,"F","F","F","F","F","F","F","F","F"
64278.000,"F","T","F","F","F","F","F","F","F"
31957.000,"F","T","F","F","F","F","F","T","F"
62049.000,"F","T","T","T","T","T","T","T","T"
60472.000,"T","T","T","T","T","F","T","F","F"
5700.000,"F","F","F","F","F","F","F","F","F"
85412.000,"F","F","F","F","F","F","F","F","F"
25276.000,"F","F","F","F","F","F","F","T","F"
47348.000,"F","F","F","F","F","F","F","F","F"
59031.000,"F","F","F","F","F","F","F","T","F"
68325.000,"T","T","T","T","T","F","F","F","F"
96326.000,"F","F","F","F","F","F","F","F","F"
46106.000,"T","T","T","T","T","T","T","T","T"
47811.000,"F","F","F","F","F","F","F","F","T"
46662.000,"F","F","F","F","F","F","F","T","F"
8089.000,"T","T","T","T","T","F","F","F","F"
97720.000,"T","T","T","T","T","F","F","T","T"
71179.000,"T","T","F","F","F","F","F","F","F"
22404.000,"F","F","F","F","F","F","F","T","F"
46836.000,"F","T","F","F","F","F","F","F","T"
23388.000,"F","F","F","F","F","F","F","F","F"
100209.000,"F","F","F","T","F","F","F","F","F"
63911.000,"F","F","F","F","F","F","T","F","F"
80459.000,"F","T","T","T","T","T","T","T","T"
50684.000,"F","F","F","F","F","F","F","T","F"
52627.000,"F","F","F","F","F","F","F","T","F"
37840.000,"F","F","F","F","F","F","F","F","T"
58657.000,"F","F","T","F","F","T","T","T","T"
45650.000,"F","F","F","F","F","F","F","F","T"
7037.000,"F","F","F","F","F","F","F","F","F"
24194.000,"T","F","T","F","F","F","F","F","F"
52491.000,"F","F","F","F","F","F","F","F","F"
21651.000,"F","F","F","F","F","F","F","F","F"
72742.000,"F","F","F","F","F","F","F","T","T"
81751.000,"F","T","F","F","F","F","F","T","F"
71201.000,"F","F","F","T","F","F","F","F","F"
70894.000,"F","F","T","F","F","F","F","T","F"
40163.000,"F","F","F","F","F","F","F","T","F"
61219.000,"F","F","F","F","F","F","F","F","F"
14126.000,"F","T","F","F","F","F","F","F","F"
1837.000,"F","F","F","F","F","T","F","F","F"
29475.000,"F","F","F","F","F","F","F","T","T"
83781.000,"T","T","T","T","T","F","T","T","F"
51449.000,"F","F","F","F","F","F","F","T","T"
76783.000,"F","F","F","F","F","F","F","F","F"
61266.000,"F","F","F","F","F","F","F","T","F"
67729.000,"F","F","F","F","F","F","F","T","F"
4552.000,"F","F","F","F","F","F","T","F","F"
58975.000,"F","F","F","F","F","T","F","T","T"
10529.000,"F","F","F","F","F","F","F","T","F"
45509.000,"F","T","F","F","F","F","F","T","T"
75363.000,"F","T","F","F","F","F","F","T","F"
54050.000,"F","F","F","F","F","F","F","T","F"
66768.000,"F","F","F","F","F","F","T","F","F"
82073.000,"F","F","F","F","F","T","T","T","T"
94162.000,"F","F","F","F","F","F","F","F","F"
48158.000,"F","T","F","F","F","T","F","T","T"
28642.000,"F","F","F","F","F","F","F","T","F"
15879.000,"F","F","T","F","F","F","F","T","F"
65662.000,"F","F","F","F","F","T","F","T","T"
4656.000,"F","T","F","F","F","F","T","F","F"
13026.000,"T","T","T","T","T","F","F","F","T"
25004.000,"F","F","F","F","F","F","T","T","F"
76153.000,"F","T","F","F","F","T","T","T","T"
52990.000,"T","F","F","F","F","F","F","F","T"
85222.000,"F","F","F","F","F","F","F","T","F"
53307.000,"F","F","F","F","F","F","F","F","T"
41954.000,"F","F","F","F","F","F","F","F","T"
41954.000,"F","F","F","F","F","F","F","F","T"
89720.000,"F","F","F","F","F","F","F","F","T"
67821.000,"F","F","F","F","F","F","F","T","F"
52830.000,"F","F","F","F","F","T","F","F","T"
53529.000,"T","T","T","T","T","F","T","F","T"
36679.000,"F","F","F","F","F","F","T","T","T"
20156.000,"F","F","F","F","F","F","F","T","F"
28484.000,"F","F","F","F","F","F","F","F","F"
48721.000,"F","F","F","F","F","F","F","T","T"
88001.000,"F","F","F","F","F","F","F","F","F"
94301.000,"F","T","F","F","F","F","F","T","F"
19441.000,"F","F","F","F","F","F","F","T","F"
32220.000,"F","F","F","F","F","F","F","F","F"
38257.000,"F","F","F","F","F","F","F","F","F"
81525.000,"F","F","F","F","F","F","F","T","F"
23184.000,"F","T","F","F","F","F","F","F","F"
83050.000,"F","F","F","F","F","F","F","F","F"
73993.000,"F","F","F","F","F","F","F","F","F"
63565.000,"F","F","T","F","F","F","F","F","F"
60842.000,"F","F","F","F","F","F","F","T","F"
4837.000,"F","F","F","F","F","F","T","T","F"
35690.000,"F","F","F","F","F","F","T","F","T"
49960.000,"F","F","F","F","F","F","F","F","F"
48908.000,"T","T","T","T","T","F","F","F","F"
50396.000,"F","F","F","F","F","F","F","F","F"
30261.000,"F","F","F","F","F","F","F","T","T"
37832.000,"F","F","F","F","F","F","F","T","T"
53476.000,"F","F","F","F","F","F","T","F","F"
7682.000,"F","F","F","F","F","F","F","T","F"
26880.000,"F","F","F","F","F","F","F","T","F"
13243.000,"T","T","T","T","T","F","T","T","F"
28696.000,"F","F","F","F","F","F","F","T","F"
84798.000,"T","T","T","T","T","F","F","T","F"
20929.000,"F","F","F","F","F","F","F","F","T"
11807.000,"F","T","F","F","F","F","T","F","F"
76923.000,"F","T","F","F","F","F","F","T","T"
100585.000,"F","F","F","F","F","F","F","F","T"
98302.000,"F","T","T","F","F","F","F","F","F"
11966.000,"F","F","F","F","F","T","F","F","F"
56937.000,"F","F","T","T","T","T","T","T","T"
83253.000,"F","F","F","F","F","F","F","F","F"
96011.000,"F","T","F","F","F","F","F","F","F"
25365.000,"F","F","F","F","F","F","F","T","F"
79466.000,"F","F","F","F","F","F","F","F","T"
1892.000,"F","F","F","F","F","F","F","F","F"
78889.000,"F","F","F","F","F","F","F","T","F"
23201.000,"F","F","F","F","F","F","F","T","F"
56320.000,"F","T","F","F","F","F","F","T","F"
35538.000,"F","F","F","F","F","F","F","F","F"
86427.000,"F","T","F","T","F","F","F","F","F"
48927.000,"F","F","F","F","F","T","F","F","T"
96707.000,"F","F","F","F","F","F","F","T","F"
7317.000,"F","T","F","F","F","F","F","T","T"
77104.000,"F","F","F","F","F","F","F","F","F"
93013.000,"F","F","F","F","F","T","T","T","F"
79426.000,"F","F","F","F","F","F","F","T","F"
92862.000,"F","F","F","F","F","F","T","F","F"
42964.000,"F","F","F","F","F","F","T","T","F"
60984.000,"T","F","F","F","T","F","F","T","F"
82598.000,"F","F","F","F","F","F","F","F","F"
69687.000,"F","F","T","F","F","F","F","T","F"
34296.000,"F","T","F","F","F","F","T","F","T"
37387.000,"F","T","F","F","F","F","T","T","F"
10645.000,"F","T","F","F","F","F","F","F","T"
60295.000,"F","F","F","F","F","F","F","T","F"
58299.000,"F","T","F","F","F","F","F","F","F"
63203.000,"F","F","F","F","F","F","F","F","F"
81831.000,"F","T","F","F","F","F","F","F","F"
100153.000,"F","F","F","T","F","T","T","T","T"
43793.000,"F","F","T","F","F","F","F","F","F"
43793.000,"F","F","T","F","F","F","F","F","F"
41202.000,"F","T","F","F","F","F","F","T","F"
57217.000,"F","F","F","F","F","F","F","T","T"
61930.000,"F","F","T","F","F","F","T","F","F"
18818.000,"F","F","F","F","F","F","F","F","F"
80003.000,"F","F","F","F","F","F","T","T","F"
48925.000,"F","F","T","F","F","F","F","T","F"
73299.000,"F","F","T","T","T","T","T","T","T"
67083.000,"F","F","F","F","F","T","T","T","T"
61907.000,"F","F","F","F","F","F","F","T","F"
36554.000,"F","F","F","F","F","F","F","T","T"
86764.000,"F","F","F","F","F","F","F","F","F"
65178.000,"F","F","F","F","F","F","T","T","T"
7149.000,"F","T","F","F","F","F","F","F","F"
56260.000,"F","T","T","T","T","T","F","F","F"
58788.000,"F","F","F","F","F","F","F","F","F"
3675.000,"F","F","F","F","F","F","F","T","T"
99407.000,"F","F","F","F","F","F","F","T","T"
98097.000,"F","F","T","F","F","F","F","F","T"
14413.000,"F","F","F","F","F","F","F","T","F"
14413.000,"F","F","F","F","F","F","F","T","F"
18896.000,"F","T","F","F","F","F","F","T","F"
67816.000,"F","F","F","F","F","F","F","T","F"
59200.000,"F","F","F","T","F","F","F","F","T"
69816.000,"F","F","F","F","F","F","F","F","F"
100364.000,"F","T","F","T","F","F","F","T","F"
18488.000,"F","F","T","T","F","F","F","F","F"
41639.000,"F","F","F","F","F","F","F","F","F"
65953.000,"F","F","F","F","F","F","F","F","T"
85079.000,"F","F","F","F","F","F","F","T","F"
72783.000,"F","F","F","F","F","F","T","F","F"
97640.000,"T","F","F","F","F","F","F","T","F"
14931.000,"F","F","F","F","F","F","F","F","F"
59605.000,"F","T","F","F","F","F","F","T","F"
54888.000,"F","F","F","F","F","F","F","F","T"
54956.000,"F","T","F","F","F","F","F","T","F"
51095.000,"F","F","F","F","T","F","T","T","F"
26112.000,"F","F","F","F","F","T","F","F","F"
7789.000,"T","T","T","T","T","F","T","F","F"
13611.000,"F","T","F","F","F","F","F","F","F"
44404.000,"F","F","F","F","F","T","F","F","T"
89206.000,"F","F","T","T","T","T","T","T","T"
66282.000,"F","F","F","F","F","F","F","F","F"
26203.000,"F","F","F","F","F","F","F","F","F"
64057.000,"T","F","F","F","F","F","F","F","F"
48350.000,"T","T","T","T","T","F","T","F","F"
5670.000,"F","F","F","F","F","F","F","T","F"
35832.000,"F","F","F","F","F","F","F","F","F"
65205.000,"F","F","F","F","F","F","F","T","F"
27065.000,"F","F","F","F","F","F","F","T","T"
62632.000,"F","F","F","F","F","F","F","F","T"
90324.000,"F","F","F","F","F","F","T","T","T"
66558.000,"F","F","F","F","F","F","F","F","F"
71617.000,"F","T","F","F","F","F","T","F","F"
47139.000,"F","F","F","F","F","F","F","T","T"
1715.000,"T","T","F","F","F","F","F","F","F"
54297.000,"F","T","F","F","F","F","F","T","F"
38244.000,"F","F","F","F","F","F","F","T","F"
30412.000,"T","T","T","T","T","F","F","T","F"
94666.000,"F","F","F","F","F","F","F","F","F"
4080.000,"F","T","F","F","F","F","F","T","F"
7739.000,"F","F","F","F","F","F","F","F","F"
76062.000,"F","F","F","F","F","F","F","T","T"
76754.000,"F","F","T","T","T","T","T","T","T"
80675.000,"F","T","F","F","F","F","F","F","F"
24680.000,"F","T","T","T","T","T","T","T","T"
95873.000,"F","F","T","F","F","F","F","T","F"
26416.000,"F","F","F","F","F","F","T","T","F"
59357.000,"F","F","F","F","F","F","F","T","T"
7089.000,"F","T","T","T","T","F","F","F","F"
16501.000,"F","F","F","F","F","F","T","F","F"
7389.000,"F","F","F","F","F","F","F","F","F"
18135.000,"F","F","T","F","F","F","F","F","F"
14373.000,"F","F","F","F","F","F","F","F","F"
14373.000,"F","F","F","F","F","F","F","F","F"
75840.000,"F","F","T","T","T","T","T","T","T"
23605.000,"F","F","F","F","F","F","F","T","T"
5203.000,"F","F","F","F","F","F","F","F","F"
23691.000,"F","T","F","F","F","F","F","F","F"
36249.000,"F","T","T","T","T","F","F","F","F"
43625.000,"F","F","F","T","F","T","T","T","T"
4099.000,"F","F","F","F","F","F","F","T","F"
62960.000,"F","F","T","T","T","T","T","T","T"
34953.000,"F","F","F","F","F","F","T","T","F"
42303.000,"F","F","F","F","F","F","T","T","F"
94880.000,"F","F","F","F","F","F","F","F","F"
89289.000,"F","F","F","F","F","F","F","F","F"
94247.000,"F","F","F","F","F","F","F","T","T"
12569.000,"T","F","F","F","F","F","F","T","T"
100963.000,"F","F","F","F","F","F","F","T","F"
